wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d,align=0.83_filtered,MTL0.2,1,"[0, 1, 1, 1]",50,0.2,0.9975,0.97725326,0.9975,0.92875,0.8975000000000002,0.9375,0.9375,1.0,0.9,0.9025,1.0,0.885,0.885,1.0
wv_3d,align=0.5,TN,1,"[0, 0, 1, 1]",50,0.0,0.4775,0.97416663,0.675,0.9385,0.9035,0.56,0.5625,1.0,0.5325,0.535,1.0,0.52,0.53,1.0
wv_3d,align=0.5,MTL0.2,1,"[0, 0, 1, 1]",50,0.2,0.995,0.97183335,0.9925,0.935,0.907,0.5225,0.525,1.0,0.5325,0.5325,1.0,0.5275,0.5275,1.0
wv_3d,align=0.5,MTL0.5,1,"[0, 0, 1, 1]",50,0.5,0.995,0.96816665,0.995,0.93225,0.8995,0.5675,0.57,1.0,0.52,0.52,1.0,0.5225,0.525,1.0
wv_3d,align=0.5,MTL0.8,1,"[0, 0, 1, 1]",50,0.8,0.995,0.96933335,0.9925,0.9195,0.8862499999999999,0.555,0.555,1.0,0.5125,0.515,1.0,0.5,0.5,1.0
wv_3d,align=0.83_filtered,MTL0.5,1,"[0, 1, 1, 1]",50,0.5,0.995,0.97746783,0.9975,0.938,0.911,0.915,0.915,1.0,0.9025,0.9025,1.0,0.875,0.875,1.0
wv_3d,align=0.83_filtered,TN,1,"[0, 1, 1, 1]",50,0.0,0.715,0.9727468,0.995,0.93375,0.9015,0.8575,0.86,1.0,0.8375,0.84,1.0,0.835,0.835,1.0
wv_3d,align=0.83_filtered,MTL0.8,1,"[0, 1, 1, 1]",50,0.8,1.0,0.97403437,0.9975,0.9335,0.90025,0.925,0.925,1.0,0.9225,0.9225,1.0,0.8875,0.8875,1.0
wv_3d,align=0.83,MTL0.2,1,"[0, 1, 1, 1]",50,0.2,0.9975,0.9708333,0.9875,0.9555,0.9345,0.8,0.8075,1.0,0.81,0.8125,1.0,0.8225,0.8225,1.0
wv_3d,align=0.83,MTL0.5,1,"[0, 1, 1, 1]",50,0.5,0.9975,0.967,0.9975,0.954,0.93125,0.8,0.8025,1.0,0.8125,0.815,1.0,0.8125,0.8125,1.0
wv_3d,align=0.83,TN,1,"[0, 1, 1, 1]",50,0.0,0.4275,0.9705,0.8475,0.94875,0.927,0.7675,0.81,1.0,0.785,0.82,1.0,0.8075,0.84,1.0
