name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align
MTL0.8,0,"[1, 1, 1, 1]",True,512,0.8,align=1_filtered,wv_3d_square_aligns,1.0,0.9975000023841858,0.8304166666666667,0.9391666666666666,0.9675955772399902,0.9975000023841858,0.9975,1.0,1.0
MTL0.5,0,"[1, 1, 1, 1]",True,512,0.5,align=1_filtered,wv_3d_square_aligns,0.9975000023841858,0.9975000023841858,0.84875,0.9558333333333334,0.971268117427826,0.9975000023841858,0.995,0.9975000023841858,1.0
MTL0.2,0,"[1, 1, 1, 1]",True,512,0.2,align=1_filtered,wv_3d_square_aligns,1.0,1.0,0.82125,0.9670833333333334,0.9682436585426332,1.0,0.9975,1.0,1.0
MTL0.5,0,"[256, 1, 256, 256]",True,512,0.5,align=0.925_filtered,wv_3d_square_aligns,0.9649999737739564,0.9950000047683716,0.8762500000000001,0.975,0.9837837815284728,0.9950000047683716,0.995,0.9649999737739564,0.925
MTL0.8,0,"[1, 256, 256, 256]",True,512,0.8,align=0.92_filtered,wv_3d_square_aligns,0.9399999976158142,0.9950000047683716,0.8562500000000001,0.9245833333333332,0.9698677659034728,0.9950000047683716,0.995,0.9399999976158142,0.92
MTL0.5,0,"[1, 256, 256, 256]",True,512,0.5,align=0.92_filtered,wv_3d_square_aligns,0.9524999856948853,0.9950000047683716,0.8666666666666667,0.9425,0.9731194376945496,0.9950000047683716,0.9975,0.9524999856948853,0.92
MTL0.8,0,"[256, 1, 256, 256]",True,512,0.8,align=0.925_filtered,wv_3d_square_aligns,0.9424999952316284,0.9950000047683716,0.8574999999999999,0.9545833333333332,0.977297306060791,0.9950000047683716,0.995,0.9424999952316284,0.925
TN,0,"[1, 256, 256, 256]",True,512,0.0,align=0.92_filtered,wv_3d_square_aligns,0.925000011920929,0.4600000083446502,0.7279166666666667,0.9725,0.9633644223213196,0.4600000083446502,0.995,0.4325000047683716,0.92
MTL0.2,0,"[1, 256, 256, 256]",True,512,0.2,align=0.92_filtered,wv_3d_square_aligns,0.9399999976158142,0.9925000071525574,0.8849999999999999,0.9458333333333332,0.9716020226478576,0.9925000071525574,0.995,0.9375,0.92
MTL0.5,1,"[0, 1, 1, 1]",True,512,0.5,align=0.83_filtered,wv_3d_square_aligns,0.949999988079071,1.0,0.9025,0.94375,0.9740343689918518,1.0,1.0,0.949999988079071,0.83
MTL0.2,1,"[256, 1, 256, 256]",True,512,0.2,align=0.925_filtered,wv_3d_square_aligns,0.9200000166893004,0.9950000047683716,0.8533333333333334,0.975,0.9751351475715636,0.9950000047683716,1.0,0.915000021457672,0.925
MTL0.8,1,"[1, 0, 1, 1]",True,512,0.8,align=0.8_filtered,wv_3d_square_aligns,0.9200000166893004,0.9950000047683716,0.8854166666666666,0.9745833333333334,0.9707792401313782,0.9950000047683716,0.995,0.9200000166893004,0.8
MTL0.5,1,"[1, 0, 1, 1]",True,512,0.5,align=0.8_filtered,wv_3d_square_aligns,0.9474999904632568,0.9950000047683716,0.8954166666666666,0.9675,0.9716450572013856,0.9950000047683716,0.995,0.9474999904632568,0.8
MTL0.8,1,"[0, 1, 1, 1]",True,512,0.8,align=0.83_filtered,wv_3d_square_aligns,0.9449999928474426,0.9950000047683716,0.8762500000000001,0.95125,0.9680257439613342,0.9950000047683716,0.995,0.9449999928474426,0.83
MTL0.2,1,"[1, 0, 1, 1]",True,512,0.2,align=0.8_filtered,wv_3d_square_aligns,0.9200000166893004,0.9950000047683716,0.8879166666666668,0.9783333333333334,0.9673160314559937,0.9950000047683716,0.995,0.9200000166893004,0.8
MTL0.2,1,"[0, 1, 1, 1]",True,512,0.2,align=0.83_filtered,wv_3d_square_aligns,0.9175000190734864,1.0,0.8770833333333332,0.94125,0.9757511019706726,1.0,1.0,0.9175000190734864,0.83
TN,1,"[1, 0, 1, 1]",True,512,0.0,align=0.8_filtered,wv_3d_square_aligns,0.9024999737739564,0.6050000190734863,0.7283333333333334,0.9941666666666666,0.9729437232017516,0.6050000190734863,0.995,0.5625,0.8
MTL0.5,1,"[0, 0, 1, 1]",True,512,0.5,align=0.5_filtered,wv_3d_square_aligns,0.7325000166893005,0.9950000047683716,0.9183333333333332,0.9320833333333334,0.9735293984413148,0.9950000047683716,0.995,0.7325000166893005,0.5
TN,1,"[0, 1, 1, 1]",True,512,0.0,align=0.83_filtered,wv_3d_square_aligns,0.8899999856948853,0.6474999785423279,0.7391666666666667,0.96375,0.9755364656448364,0.6474999785423279,1.0,0.5975000262260437,0.83
MTL0.8,1,"[0, 0, 1, 1]",True,512,0.8,align=0.5_filtered,wv_3d_square_aligns,0.7250000238418579,0.9950000047683716,0.91625,0.9070833333333334,0.9739819169044496,0.9950000047683716,0.995,0.7250000238418579,0.5
TN,1,"[0, 0, 1, 1]",True,512,0.0,align=0.5_filtered,wv_3d_square_aligns,0.7200000286102295,0.5525000095367432,0.8820833333333334,0.9358333333333334,0.9694570302963256,0.5525000095367432,0.995,0.4300000071525574,0.5
