,name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
39,MTL0.5,2,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.4,wv_3d_square_noisy,0.8725000023841858,0.9900000095367432,0.5724999999999999,0.7958333333333333,0.7042784690856934,0.9950000047683716,0.995,0.8725000023841858,0.925,0.4
40,MTL0.5,0,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.8,wv_3d_square_noisy,0.7074999809265137,0.6675000190734863,0.33791666666666664,0.4291666666666667,0.6726285219192505,0.9950000047683716,0.995,0.7074999809265137,0.925,0.8
41,MTL0.2,0,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.8,wv_3d_square_noisy,0.6474999785423279,0.5525000095367432,0.3070833333333334,0.5633333333333334,0.6669685244560242,0.9950000047683716,0.995,0.6474999785423279,0.925,0.8
42,TN,0,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.7,wv_3d_square_noisy,0.7950000166893005,0.7350000143051147,0.2308333333333333,0.7041666666666666,0.6647111773490906,0.4600000083446502,0.9975,0.45500001311302185,0.925,0.7
43,MTL0.2,2,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.4,wv_3d_square_noisy,0.9674999713897704,0.9950000047683716,0.6033333333333334,0.53875,0.6989580988883972,0.9950000047683716,0.995,0.9674999713897704,0.925,0.4
44,MTL0.8,0,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.7,wv_3d_square_noisy,0.8399999737739563,0.7149999737739563,0.36875,0.4008333333333333,0.6699007153511047,0.9975000023841858,0.9975,0.8399999737739563,0.925,0.7
45,MTL0.5,0,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.7,wv_3d_square_noisy,0.8199999928474426,0.7400000095367432,0.4108333333333334,0.535,0.667870044708252,1.0,1.0,0.8199999928474426,0.925,0.7
46,MTL0.2,0,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.7,wv_3d_square_noisy,0.7925000190734863,0.7024999856948853,0.38291666666666674,0.46458333333333335,0.6667418479919434,0.9975000023841858,0.9975,0.7925000190734863,0.925,0.7
47,TN,0,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.6,wv_3d_square_noisy,0.7699999809265137,0.6625000238418579,0.22,0.5770833333333333,0.6691341400146484,0.4600000083446502,0.9975,0.4325000047683716,0.925,0.6
48,MTL0.8,2,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.3,wv_3d_square_noisy,0.9100000262260436,0.9950000047683716,0.7129166666666666,0.875,0.7702109217643738,0.9950000047683716,0.995,0.9100000262260436,0.925,0.3
49,TN,2,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.3,wv_3d_square_noisy,0.987500011920929,0.4600000083446502,0.36541666666666667,0.8716666666666667,0.7572495937347412,0.4600000083446502,0.9975,0.45500001311302185,0.925,0.3
50,MTL0.5,0,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.6,wv_3d_square_noisy,0.6924999952316284,0.8025000095367432,0.37666666666666665,0.5425,0.6583669781684875,0.9975000023841858,0.995,0.6949999928474426,0.925,0.6
51,MTL0.2,0,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.6,wv_3d_square_noisy,0.7875000238418579,0.7875000238418579,0.4075,0.44083333333333335,0.661058783531189,0.9925000071525574,0.9975,0.7900000214576721,0.925,0.6
52,MTL0.8,0,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.6,wv_3d_square_noisy,0.7574999928474426,0.7300000190734863,0.3754166666666667,0.4841666666666667,0.6628533005714417,0.9950000047683716,0.995,0.7574999928474426,0.925,0.6
53,MTL0.8,0,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.5,wv_3d_square_noisy,0.9574999809265136,0.9100000262260436,0.49875,0.49333333333333335,0.6732916831970215,1.0,0.9975,0.9574999809265136,0.925,0.5
54,TN,0,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.5,wv_3d_square_noisy,0.8025000095367432,0.6274999976158142,0.23749999999999996,0.7070833333333333,0.6750781536102295,0.3174999952316284,0.9975,0.26750001311302185,0.925,0.5
56,MTL0.5,0,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.5,wv_3d_square_noisy,0.9024999737739564,0.949999988079071,0.48208333333333336,0.4108333333333334,0.6757481098175049,0.9950000047683716,0.995,0.9024999737739564,0.925,0.5
57,MTL0.8,2,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.2,wv_3d_square_noisy,0.9725000262260436,0.9925000071525574,0.765,0.7200000000000001,0.8252747654914856,0.9925000071525574,0.995,0.9725000262260436,0.925,0.2
58,MTL0.5,2,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.2,wv_3d_square_noisy,0.9649999737739564,0.9950000047683716,0.7533333333333333,0.7741666666666666,0.8217582702636719,0.9950000047683716,0.995,0.9649999737739564,0.925,0.2
59,MTL0.2,0,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.5,wv_3d_square_noisy,0.8675000071525574,0.912500023841858,0.4883333333333333,0.4491666666666667,0.6621259450912476,0.9975000023841858,0.9975,0.8725000023841858,0.925,0.5
60,MTL0.8,1,"[256, 1, 256, 256]",True,512,0.8,align=0.925_p=0.4,wv_3d_square_noisy,0.8974999785423279,0.9975000023841858,0.63375,0.8316666666666667,0.7131456732749939,0.9975000023841858,0.9975,0.8974999785423279,0.925,0.4
61,MTL0.5,1,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.4,wv_3d_square_noisy,0.9275000095367432,0.9975000023841858,0.6154166666666666,0.7841666666666667,0.7111505270004272,0.9975000023841858,1.0,0.9275000095367432,0.925,0.4
62,TN,0,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.4,wv_3d_square_noisy,0.925000011920929,0.48249998688697815,0.3820833333333334,0.9220833333333333,0.7113721966743469,0.4600000083446502,0.9975,0.4275000095367432,0.925,0.4
63,TN,2,"[256, 1, 256, 256]",True,512,0.0,align=0.925_p=0.2,wv_3d_square_noisy,0.9524999856948853,0.4600000083446502,0.47208333333333335,0.9345833333333332,0.8125274777412415,0.4600000083446502,0.9975,0.4375,0.925,0.2
64,MTL0.2,2,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.2,wv_3d_square_noisy,0.9424999952316284,0.9925000071525574,0.7637499999999999,0.9170833333333333,0.8221977949142456,0.9925000071525574,0.995,0.9399999976158142,0.925,0.2
65,MTL0.2,1,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.4,wv_3d_square_noisy,0.962499976158142,1.0,0.6116666666666667,0.6433333333333334,0.7073819637298584,1.0,1.0,0.962499976158142,0.925,0.4
66,MTL0.5,1,"[256, 1, 256, 256]",True,512,0.5,align=0.925_p=0.3,wv_3d_square_noisy,0.949999988079071,0.9975000023841858,0.7170833333333334,0.8616666666666667,0.7625219821929932,0.9975000023841858,0.9975,0.949999988079071,0.925,0.3
67,MTL0.2,1,"[256, 1, 256, 256]",True,512,0.2,align=0.925_p=0.3,wv_3d_square_noisy,0.977500021457672,1.0,0.71,0.7599999999999999,0.75812828540802,1.0,0.9975,0.977500021457672,0.925,0.3
