,name,model,seed,weights,filtered,embed_dim,lamda,align,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc
18,MTL0.5,MTL,2,"[128, 1, 0, 0]",True,512,0.5,0.97,wv_3d_linear,0.9447236061096193,0.984924614429474,0.8036013400335008,0.9187604690117251,0.9778136014938354,0.984924614429474,0.9824120603015076,0.947236180305481
19,MTL0.8,MTL,2,"[128, 1, 0, 0]",True,512,0.8,0.97,wv_3d_linear,0.9522613286972046,0.9924623370170592,0.7881072026800671,0.8651591289782244,0.9747881889343262,0.9924623370170592,0.9899497487437184,0.947236180305481
20,MTL0.2,MTL,2,"[128, 1, 0, 0]",True,512,0.2,0.97,wv_3d_linear,0.9648241400718688,0.9874371886253356,0.8350083752093802,0.9124790619765496,0.975594997406006,0.9874371886253356,0.9874371859296482,0.9623115658760072
21,MTL0.2,MTL,0,"[1, 1, 0, 0]",True,512,0.2,1.0,wv_3d_linear,0.9874371886253356,0.984924614429474,0.8685092127303182,0.9103852596314908,0.978384494781494,0.984924614429474,0.9824120603015076,0.9924623370170592
22,MTL0.5,MTL,0,"[1, 1, 0, 0]",True,512,0.5,1.0,wv_3d_linear,0.9899497628211976,0.982412040233612,0.8768844221105528,0.9321608040201004,0.9781948924064636,0.982412040233612,0.9824120603015076,0.9924623370170592
23,TN,TN,2,"[128, 1, 0, 0]",True,512,0.0,0.97,wv_3d_linear,0.9045225977897644,0.9773869514465332,0.8408710217755444,0.9711055276381908,0.9808390736579896,0.4070351719856262,0.9773869346733668,0.9045225977897644
24,MTL0.8,MTL,2,"[1, 2048, 0, 0]",True,512,0.8,0.96,wv_3d_linear,0.8743718862533569,0.9874371886253356,0.842964824120603,0.9355108877721944,0.97827410697937,0.9874371886253356,0.9899497487437184,0.8718593120574951
25,TN,TN,2,"[1, 2048, 0, 0]",True,512,0.0,0.96,wv_3d_linear,0.8216080665588379,0.9899497628211976,0.8731155778894472,0.9719430485762144,0.9790862798690796,0.21105527877807617,0.9899497487437184,0.8216080665588379
26,MTL0.5,MTL,2,"[1, 2048, 0, 0]",True,512,0.5,0.96,wv_3d_linear,0.8844221234321594,0.9773869514465332,0.8605527638190954,0.9313232830820772,0.981522798538208,0.9773869514465332,0.9899497487437184,0.8819095492362976
27,TN,TN,0,"[1, 128, 0, 0]",True,512,0.0,0.98,wv_3d_linear,0.927135705947876,0.9648241400718688,0.8701842546063651,0.9560301507537688,0.984066128730774,0.4899497628211975,0.964824120603015,0.927135705947876
28,MTL0.8,MTL,0,"[1, 128, 0, 0]",True,512,0.8,0.98,wv_3d_linear,0.9346733689308168,0.9899497628211976,0.8375209380234506,0.9061976549413736,0.970552623271942,0.9899497628211976,0.992462311557789,0.9346733689308168
29,MTL0.5,MTL,1,"[128, 1, 0, 0]",True,512,0.5,0.97,wv_3d_linear,0.9547738432884216,0.984924614429474,0.842964824120603,0.9078726968174204,0.9824525713920592,0.984924614429474,0.9798994974874372,0.9572864174842834
30,MTL0.8,MTL,1,"[128, 1, 0, 0]",True,512,0.8,0.97,wv_3d_linear,0.9597989916801452,0.9924623370170592,0.821608040201005,0.930067001675042,0.9812424182891846,0.9924623370170592,0.9874371859296482,0.9597989916801452
31,MTL0.5,MTL,0,"[1, 128, 0, 0]",True,512,0.5,0.98,wv_3d_linear,0.9422110319137572,0.9899497628211976,0.8530150753768844,0.9216917922948072,0.9766034483909608,0.9899497628211976,0.9899497487437184,0.9396985173225404
32,MTL0.2,MTL,1,"[128, 1, 0, 0]",True,512,0.2,0.97,wv_3d_linear,0.9396985173225404,0.979899525642395,0.8421273031825796,0.9313232830820772,0.9816458225250244,0.979899525642395,0.9899497487437184,0.9422110319137572
33,MTL0.2,MTL,0,"[1, 128, 0, 0]",True,512,0.2,0.98,wv_3d_linear,0.9623115658760072,0.984924614429474,0.8530150753768844,0.9279731993299832,0.9822509288787842,0.984924614429474,0.9899497487437184,0.9597989916801452
34,TN,TN,1,"[128, 1, 0, 0]",True,512,0.0,0.97,wv_3d_linear,0.9321607947349548,0.982412040233612,0.8404522613065327,0.9644053601340034,0.9820492267608644,0.5025125741958618,0.9824120603015076,0.9321607947349548
35,MTL0.8,MTL,1,"[1, 2048, 0, 0]",True,512,0.8,0.96,wv_3d_linear,0.8793969750404358,0.9924623370170592,0.8320770519262982,0.9258793969849248,0.9817258715629578,0.9924623370170592,0.9899497487437184,0.8793969750404358
36,TN,TN,1,"[1, 2048, 0, 0]",True,512,0.0,0.96,wv_3d_linear,0.8115577697753906,0.979899525642395,0.8672529313232831,0.9706867671691792,0.9821319580078124,0.7160804271697998,0.9798994974874372,0.8115577697753906
37,MTL0.5,MTL,1,"[1, 2048, 0, 0]",True,512,0.5,0.96,wv_3d_linear,0.876884400844574,0.982412040233612,0.8676716917922948,0.9317420435510888,0.9772588610649108,0.982412040233612,0.9824120603015076,0.8743718862533569
38,TN,TN,0,"[128, 1, 0, 0]",True,512,0.0,0.97,wv_3d_linear,0.9145728349685668,0.979899525642395,0.8316582914572864,0.971105527638191,0.9806373715400696,0.5502512454986572,0.9798994974874372,0.9145728349685668
39,MTL0.5,MTL,0,"[128, 1, 0, 0]",True,512,0.5,0.97,wv_3d_linear,0.9522613286972046,0.9773869514465332,0.821608040201005,0.9028475711892796,0.9812424182891846,0.9773869514465332,0.9798994974874372,0.9547738432884216
40,MTL0.8,MTL,0,"[128, 1, 0, 0]",True,512,0.8,0.97,wv_3d_linear,0.9547738432884216,0.979899525642395,0.8086264656616415,0.920854271356784,0.979023814201355,0.979899525642395,0.984924623115578,0.9547738432884216
41,MTL0.2,MTL,0,"[128, 1, 0, 0]",True,512,0.2,0.97,wv_3d_linear,0.9371859431266784,0.967336654663086,0.8249581239530989,0.9091289782244556,0.9766034483909608,0.967336654663086,0.9824120603015076,0.9371859431266784
42,MTL0.5,MTL,2,"[2048, 1, 0, 0]",True,512,0.5,0.95,wv_3d_linear,0.8618090748786926,0.979899525642395,0.8350083752093802,0.9283919597989948,0.976631760597229,0.979899525642395,0.9824120603015076,0.8618090748786926
43,MTL0.8,MTL,2,"[2048, 1, 0, 0]",True,512,0.8,0.95,wv_3d_linear,0.9195979833602904,0.984924614429474,0.8195142378559463,0.9141541038525964,0.9728041887283324,0.984924614429474,0.984924623115578,0.9195979833602904
44,MTL0.2,MTL,2,"[1, 2048, 0, 0]",True,512,0.2,0.96,wv_3d_linear,0.8894472122192383,0.979899525642395,0.8563651591289783,0.9216917922948076,0.9823350310325624,0.979899525642395,0.9874371859296482,0.8869346976280212
45,MTL0.8,MTL,0,"[1, 2048, 0, 0]",True,512,0.8,0.96,wv_3d_linear,0.9145728349685668,0.9924623370170592,0.8270519262981576,0.8701842546063653,0.9709644317626952,0.9924623370170592,0.9874371859296482,0.9145728349685668
46,TN,TN,0,"[1, 2048, 0, 0]",True,512,0.0,0.96,wv_3d_linear,0.8090452551841736,0.9773869514465332,0.8701842546063653,0.966499162479062,0.9750253558158876,0.6859296560287476,0.9773869346733668,0.8090452551841736
47,MTL0.2,MTL,2,"[0, 1, 0, 0]",True,512,0.2,0.62,wv_3d_linear,0.8090452551841736,0.982412040233612,0.8789782244556114,0.9443048576214408,0.9830678701400756,0.982412040233612,0.992462311557789,0.8090452551841736
48,MTL0.8,MTL,2,"[0, 1, 0, 0]",True,512,0.8,0.62,wv_3d_linear,0.8291457295417786,0.979899525642395,0.8496649916247906,0.9262981574539364,0.978431761264801,0.979899525642395,0.992462311557789,0.8241205811500549
49,MTL0.5,MTL,2,"[0, 1, 0, 0]",True,512,0.5,0.62,wv_3d_linear,0.7914572954177856,0.9648241400718688,0.873534338358459,0.9225293132328308,0.9762144684791564,0.9648241400718688,0.9874371859296482,0.7839195728302002
50,MTL0.5,MTL,0,"[1, 2048, 0, 0]",True,512,0.5,0.96,wv_3d_linear,0.8743718862533569,0.9874371886253356,0.8454773869346733,0.9108040201005024,0.9784771203994752,0.9874371886253356,0.9874371859296482,0.876884400844574
51,TN,TN,2,"[2048, 1, 0, 0]",True,512,0.0,0.95,wv_3d_linear,0.7688442468643188,0.9723618030548096,0.8433835845896147,0.9685929648241206,0.9794520735740662,0.5879396796226501,0.9723618090452262,0.7688442468643188
52,TN,TN,2,"[0, 1, 0, 0]",True,512,0.0,0.62,wv_3d_linear,0.6381909251213074,0.9723618030548096,0.8835845896147404,0.9736180904522612,0.988107204437256,0.2412060350179672,0.9723618090452262,0.6381909251213074
53,MTL0.2,MTL,2,"[2048, 1, 0, 0]",True,512,0.2,0.95,wv_3d_linear,0.8618090748786926,0.979899525642395,0.833752093802345,0.9313232830820772,0.978243350982666,0.979899525642395,0.9798994974874372,0.8668341636657715
54,MTL0.2,MTL,2,"[1, 0, 0, 0]",True,512,0.2,0.67,wv_3d_linear,0.8492462038993835,0.979899525642395,0.8505025125628141,0.945142378559464,0.9774710536003112,0.979899525642395,0.9824120603015076,0.8517587780952454
55,MTL0.8,MTL,2,"[1, 0, 0, 0]",True,512,0.8,0.67,wv_3d_linear,0.839195966720581,0.9572864174842834,0.8128140703517589,0.9309045226130652,0.9707732796669006,0.9572864174842834,0.9874371859296482,0.8241205811500549
56,MTL0.5,MTL,2,"[1, 0, 0, 0]",True,512,0.5,0.67,wv_3d_linear,0.7839195728302002,0.9899497628211976,0.836683417085427,0.9292294807370184,0.9770651459693908,0.9899497628211976,0.9874371859296482,0.786432147026062
