,name,model,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h,NO_h2h,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
79,MTL0.2,MTL,1,"[128, 1, 0, 0]",True,512,0.2,align=0.97_p=0.6,wv_3d_linear_noisy,0.9221105575561525,0.9597989916801452,0.5385259631490787,0.6486599664991625,0.6704442501068115,0.984924614429474,0.9899497487437184,0.9246231317520142,0.97,0.6
80,MTL0.5,MTL,1,"[128, 1, 0, 0]",False,512,0.5,align=0.97_p=0.5,wv_3d_linear_noisy,0.8969849348068237,0.9648241400718688,0.513819095477387,0.6289782244556115,0.49933332204818726,0.9924623370170592,0.9899497487437184,0.8944723606109619,0.97,0.5
81,MTL0.2,MTL,2,"[128, 1, 0, 0]",True,512,0.2,align=0.97_p=0.4,wv_3d_linear_noisy,0.947236180305481,0.9949748516082764,0.567001675041876,0.4593802345058627,0.7070329785346985,0.9949748516082764,0.9899497487437184,0.9497487545013428,0.97,0.4
82,MTL0.5,MTL,0,"[128, 1, 0, 0]",False,512,0.5,align=0.97_p=0.6,wv_3d_linear_noisy,0.856783926486969,0.9045225977897644,0.44053601340033505,0.550251256281407,0.500166654586792,0.979899525642395,0.984924623115578,0.8517587780952454,0.97,0.6
83,MTL0.2,MTL,1,"[128, 1, 0, 0]",False,512,0.2,align=0.97_p=0.5,wv_3d_linear_noisy,0.927135705947876,0.9195979833602904,0.4962311557788945,0.4865996649916248,0.5040000081062317,0.9321607947349548,0.9673366834170856,0.9246231317520142,0.97,0.5
84,MTL0.8,MTL,1,"[128, 1, 0, 0]",False,512,0.8,align=0.97_p=0.5,wv_3d_linear_noisy,0.8618090748786926,0.979899525642395,0.5443886097152429,0.6624790619765494,0.503166675567627,0.9899497628211976,0.992462311557789,0.8592965006828308,0.97,0.5
85,TN,TN,2,"[128, 1, 0, 0]",False,512,0.0,align=0.97_p=0.3,wv_3d_linear_noisy,0.8643215894699097,0.9422110319137572,0.6989112227805695,0.9355108877721944,0.6666666865348816,0.4974874258041382,0.942211055276382,0.8643215894699097,0.97,0.3
86,MTL0.2,MTL,0,"[128, 1, 0, 0]",False,512,0.2,align=0.97_p=0.6,wv_3d_linear_noisy,0.8844221234321594,0.8944723606109619,0.44639865996649913,0.4593802345058627,0.5036666393280029,0.9145728349685668,0.964824120603015,0.8743718862533569,0.97,0.6
87,MTL0.8,MTL,2,"[128, 1, 0, 0]",False,512,0.8,align=0.97_p=0.4,wv_3d_linear_noisy,0.876884400844574,0.9874371886253356,0.5544388609715242,0.7298994974874371,0.5274999737739563,0.9899497628211976,0.9899497487437184,0.876884400844574,0.97,0.4
88,MTL0.5,MTL,2,"[128, 1, 0, 0]",False,512,0.5,align=0.97_p=0.4,wv_3d_linear_noisy,0.8643215894699097,0.982412040233612,0.5628140703517588,0.77428810720268,0.5393333435058594,0.982412040233612,0.9899497487437184,0.8592965006828308,0.97,0.4
89,TN,TN,0,"[128, 1, 0, 0]",True,512,0.0,align=0.97_p=0.6,wv_3d_linear_noisy,0.9145728349685668,0.9698492288589478,0.5510887772194305,0.5799832495812395,0.6679510474205017,0.5025125741958618,0.984924623115578,0.9145728349685668,0.97,0.6
90,MTL0.8,MTL,0,"[128, 1, 0, 0]",True,512,0.8,align=0.97_p=0.6,wv_3d_linear_noisy,0.9371859431266784,0.9371859431266784,0.5108877721943048,0.5129815745393634,0.6740707159042358,0.9949748516082764,0.992462311557789,0.9396985173225404,0.97,0.6
91,MTL0.5,MTL,2,"[128, 1, 0, 0]",True,512,0.5,align=0.97_p=0.5,wv_3d_linear_noisy,0.9547738432884216,0.967336654663086,0.5653266331658292,0.4723618090452262,0.6578479409217834,0.9874371886253356,0.9874371859296482,0.9547738432884216,0.97,0.5
92,MTL0.2,MTL,2,"[128, 1, 0, 0]",False,512,0.2,align=0.97_p=0.3,wv_3d_linear_noisy,0.8693467378616333,0.909547746181488,0.6302345058626465,0.8940536013400336,0.6503333449363708,0.909547746181488,0.9748743718592964,0.8467336893081665,0.97,0.3
93,MTL0.5,MTL,0,"[128, 1, 0, 0]",True,512,0.5,align=0.97_p=0.6,wv_3d_linear_noisy,0.9648241400718688,0.9422110319137572,0.4824120603015076,0.46063651591289784,0.6797370910644531,0.984924614429474,0.992462311557789,0.9648241400718688,0.97,0.6
94,MTL0.8,MTL,1,"[128, 1, 0, 0]",True,512,0.8,align=0.97_p=0.5,wv_3d_linear_noisy,0.9371859431266784,0.967336654663086,0.5431323283082078,0.4476549413735344,0.677412211894989,0.982412040233612,0.9798994974874372,0.9371859431266784,0.97,0.5
95,TN,TN,1,"[128, 1, 0, 0]",True,512,0.0,align=0.97_p=0.5,wv_3d_linear_noisy,0.9447236061096193,0.9874371886253356,0.5770519262981574,0.48994974874371855,0.6649622321128845,0.5025125741958618,0.9899497487437184,0.9447236061096193,0.97,0.5
96,MTL0.2,MTL,1,"[128, 1, 0, 0]",False,512,0.2,align=0.97_p=0.4,wv_3d_linear_noisy,0.856783926486969,0.9422110319137572,0.6164154103852596,0.9011725293132328,0.5523333549499512,0.9422110319137572,0.9899497487437184,0.8442211151123047,0.97,0.4
97,TN,TN,1,"[128, 1, 0, 0]",False,512,0.0,align=0.97_p=0.4,wv_3d_linear_noisy,0.7763819098472595,0.91206032037735,0.5933835845896147,0.9246231155778892,0.565500020980835,0.5025125741958618,0.9120603015075376,0.7763819098472595,0.97,0.4
98,TN,TN,2,"[128, 1, 0, 0]",True,512,0.0,align=0.97_p=0.4,wv_3d_linear_noisy,0.9221105575561525,0.9949748516082764,0.621859296482412,0.708961474036851,0.7156044244766235,0.49246230721473694,0.9974874371859296,0.9221105575561525,0.97,0.4
99,MTL0.2,MTL,1,"[128, 1, 0, 0]",True,512,0.2,align=0.97_p=0.5,wv_3d_linear_noisy,0.9422110319137572,0.9773869514465332,0.5247068676716918,0.4242043551088777,0.6725211143493652,0.9924623370170592,0.9874371859296482,0.9422110319137572,0.97,0.5
100,MTL0.2,MTL,0,"[128, 1, 0, 0]",True,512,0.2,align=0.97_p=0.6,wv_3d_linear_noisy,0.9221105575561525,0.9572864174842834,0.5498324958123953,0.6088777219430486,0.6620579957962036,0.9723618030548096,0.9874371859296482,0.9195979833602904,0.97,0.6
101,MTL0.8,MTL,1,"[128, 1, 0, 0]",True,512,0.8,align=0.97_p=0.4,wv_3d_linear_noisy,0.967336654663086,0.9773869514465332,0.5912897822445561,0.3957286432160804,0.6964835524559021,0.984924614429474,0.9874371859296482,0.967336654663086,0.97,0.4
102,MTL0.8,MTL,1,"[128, 1, 0, 0]",False,512,0.8,align=0.97_p=0.4,wv_3d_linear_noisy,0.8718593120574951,0.982412040233612,0.585427135678392,0.8056951423785595,0.5170000195503235,0.984924614429474,0.984924623115578,0.8718593120574951,0.97,0.4
103,MTL0.5,MTL,1,"[128, 1, 0, 0]",True,512,0.5,align=0.97_p=0.4,wv_3d_linear_noisy,0.9723618030548096,0.982412040233612,0.5787269681742043,0.4765494137353434,0.6936264038085938,0.9899497628211976,0.9899497487437184,0.9723618030548096,0.97,0.4
104,MTL0.5,MTL,1,"[128, 1, 0, 0]",False,512,0.5,align=0.97_p=0.4,wv_3d_linear_noisy,0.7738693356513977,0.9698492288589478,0.5255443886097152,0.876465661641541,0.5273333191871643,0.9698492288589478,0.984924623115578,0.766331672668457,0.97,0.4
105,MTL0.5,MTL,1,"[128, 1, 0, 0]",True,512,0.5,align=0.97_p=0.5,wv_3d_linear_noisy,0.9321607947349548,0.9572864174842834,0.5925460636515912,0.5942211055276382,0.6771898865699768,0.9874371886253356,0.9899497487437184,0.9321607947349548,0.97,0.5
106,TN,TN,0,"[128, 1, 0, 0]",False,512,0.0,align=0.97_p=0.5,wv_3d_linear_noisy,0.8718593120574951,0.9170854091644288,0.4623115577889447,0.6231155778894473,0.5121666789054871,0.5025125741958618,0.9120603015075376,0.8718593120574951,0.97,0.5
107,MTL0.8,MTL,1,"[128, 1, 0, 0]",False,512,0.8,align=0.97_p=0.3,wv_3d_linear_noisy,0.8618090748786926,0.979899525642395,0.5904522613065327,0.8542713567839195,0.590499997138977,0.979899525642395,0.9824120603015076,0.8643215894699097,0.97,0.3
108,MTL0.5,MTL,1,"[128, 1, 0, 0]",False,512,0.5,align=0.97_p=0.3,wv_3d_linear_noisy,0.856783926486969,0.9949748516082764,0.5967336683417085,0.8919597989949749,0.5989999771118164,0.9949748516082764,0.9899497487437184,0.8592965006828308,0.97,0.3
109,MTL0.2,MTL,1,"[128, 1, 0, 0]",True,512,0.2,align=0.97_p=0.4,wv_3d_linear_noisy,0.9195979833602904,0.984924614429474,0.6168341708542714,0.6976549413735343,0.6991208791732788,0.984924614429474,0.984924623115578,0.9195979833602904,0.97,0.4
