wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d_d=512,align=0.83,MTL0.2,0,"[0, 1, 1, 1]",512,0.2,0.9975,0.96416664,0.9975,0.9405,0.91375,0.8525,0.855,1.0,0.8425,0.8425,1.0,0.84,0.84,1.0
wv_3d_d=512,align=0.83,TN,0,"[0, 1, 1, 1]",512,0.0,0.375,0.9675,0.8825,0.9425,0.9195,0.815,0.85,1.0,0.805,0.8275,1.0,0.815,0.85,1.0
wv_3d_d=512,align=0.83,MTL0.5,0,"[0, 1, 1, 1]",512,0.5,0.9975,0.9745,0.9975,0.93875,0.9125,0.8825,0.885,1.0,0.8625,0.8625,1.0,0.86,0.86,1.0
wv_3d_d=512,align=0.83,MTL0.8,0,"[0, 1, 1, 1]",512,0.8,0.995,0.96466666,0.995,0.94425,0.921,0.89,0.8925,1.0,0.87,0.8725,1.0,0.8575,0.8575,1.0
wv_3d_d=512,align=0.83,TN,1,"[0, 1, 1, 1]",512,0.0,0.46,0.97316664,0.8425,0.94525,0.91925,0.79,0.815,1.0,0.8125,0.835,1.0,0.8075,0.83,1.0
wv_3d_d=512,align=0.83,MTL0.2,1,"[0, 1, 1, 1]",512,0.2,0.995,0.9675,0.995,0.9415,0.9145,0.8825,0.885,1.0,0.87,0.87,1.0,0.86,0.86,1.0
wv_3d_d=512,align=0.83,MTL0.5,1,"[0, 1, 1, 1]",512,0.5,0.995,0.96666664,0.9975,0.94525,0.9197500000000002,0.875,0.8775,1.0,0.885,0.8875,1.0,0.87,0.87,1.0
wv_3d_d=512,align=0.83,MTL0.8,1,"[0, 1, 1, 1]",512,0.8,0.9975,0.9586667,0.9975,0.944,0.9185,0.8825,0.885,1.0,0.8775,0.8775,1.0,0.875,0.875,1.0
wv_3d_d=512,align=0.83,TN,2,"[0, 1, 1, 1]",512,0.0,0.4525,0.97966665,0.8625,0.954,0.933,0.8175,0.865,1.0,0.8125,0.85,1.0,0.8275,0.8675,1.0
wv_3d_d=512,align=0.83,MTL0.2,2,"[0, 1, 1, 1]",512,0.2,0.9975,0.9683333,0.9975,0.94925,0.925,0.8675,0.87,1.0,0.8525,0.8525,1.0,0.845,0.845,1.0
wv_3d_d=512,align=0.83,MTL0.5,2,"[0, 1, 1, 1]",512,0.5,0.9975,0.96966666,0.9975,0.9465,0.9225,0.8725,0.8725,1.0,0.8525,0.8525,1.0,0.84,0.84,1.0
wv_3d_d=512,align=0.83,MTL0.8,2,"[0, 1, 1, 1]",512,0.8,0.9975,0.9615,0.9975,0.94975,0.92575,0.86,0.8625,1.0,0.8475,0.8475,1.0,0.84,0.84,1.0
wv_3d_d=512,align=0.8_filtered,MTL0.2,0,"[1, 0, 1, 1]",512,0.2,0.9925,0.97683984,0.995,0.94475,0.92725,0.9125,0.9125,1.0,0.88,0.8825,1.0,0.865,0.865,1.0
wv_3d_d=512,align=0.8_filtered,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.9925,0.9744589,0.995,0.92725,0.90075,0.895,0.8975,1.0,0.855,0.8575,1.0,0.835,0.8375,1.0
wv_3d_d=512,align=0.8_filtered,TN,0,"[1, 0, 1, 1]",512,0.0,0.46,0.9735931,0.995,0.94125,0.9195,0.9025,0.9025,1.0,0.87,0.87,1.0,0.84,0.84,1.0
wv_3d_d=512,align=0.8_filtered,MTL0.8,0,"[1, 0, 1, 1]",512,0.8,0.9975,0.97337663,0.995,0.93975,0.91925,0.915,0.915,1.0,0.885,0.885,1.0,0.8725,0.8725,1.0
wv_3d_d=512,align=0.8_filtered,MTL0.2,1,"[1, 0, 1, 1]",512,0.2,0.995,0.97510827,0.995,0.9335,0.90525,0.9275,0.93,1.0,0.8975,0.8975,1.0,0.87,0.87,1.0
wv_3d_d=512,align=0.8_filtered,MTL0.5,1,"[1, 0, 1, 1]",512,0.5,0.995,0.9744589,0.995,0.93075,0.9,0.9075,0.9075,1.0,0.88,0.88,1.0,0.8525,0.8525,1.0
wv_3d_d=512,align=0.8_filtered,TN,1,"[1, 0, 1, 1]",512,0.0,0.46,0.97467536,0.995,0.9355,0.9185,0.9275,0.9275,1.0,0.9175,0.92,1.0,0.8775,0.8775,1.0
wv_3d_d=512,align=0.8_filtered,MTL0.8,1,"[1, 0, 1, 1]",512,0.8,0.9975,0.96904767,0.9975,0.93575,0.90475,0.94,0.9425,1.0,0.935,0.935,1.0,0.9075,0.9075,1.0
wv_3d_d=512,align=0.8_filtered,TN,2,"[1, 0, 1, 1]",512,0.0,0.4775,0.97943723,0.9975,0.9465,0.9280000000000002,0.915,0.915,1.0,0.88,0.88,1.0,0.8675,0.8675,1.0
wv_3d_d=512,align=0.8_filtered,MTL0.2,2,"[1, 0, 1, 1]",512,0.2,0.9975,0.9785715,0.995,0.93725,0.914,0.9325,0.935,1.0,0.9,0.9025,1.0,0.895,0.8975,1.0
wv_3d_d=512,align=0.8_filtered,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.995,0.975974,0.995,0.92775,0.905,0.9,0.9025,1.0,0.88,0.88,1.0,0.885,0.885,1.0
wv_3d_d=512,align=0.8_filtered,MTL0.8,2,"[1, 0, 1, 1]",512,0.8,1.0,0.9718615,0.9975,0.933,0.9145,0.955,0.955,1.0,0.93,0.93,1.0,0.905,0.905,1.0
wv_3d_d=512,align=0.8,MTL0.2,0,"[1, 0, 1, 1]",512,0.2,0.995,0.972,0.995,0.9465,0.91875,0.845,0.8475,1.0,0.8175,0.8175,1.0,0.8025,0.8025,1.0
wv_3d_d=512,align=0.8,MTL0.5,0,"[1, 0, 1, 1]",512,0.5,0.995,0.9658333,0.995,0.9455,0.92225,0.825,0.8275,1.0,0.8225,0.825,1.0,0.8125,0.815,1.0
