wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d_noisy,align=0.925_p=0.6,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.995,0.6588156,0.9975,0.37925,0.37925,0.6925,0.6925,0.7775,0.8375,0.8375,0.905,0.885,0.885,0.925
wv_3d_noisy,align=0.925_p=0.7,TN,1,"[256, 1, 256, 256]",512,0.0,0.46,0.6719314,0.9975,0.35675,0.35675,0.8025,0.805,0.7975,0.8875,0.89,0.905,0.9425,0.945,0.9125
wv_3d_noisy,align=0.925_p=0.7,MTL0.5,1,"[256, 1, 256, 256]",512,0.5,0.9925,0.66245484,0.9925,0.38375,0.38375,0.6875,0.6875,0.705,0.8625,0.8625,0.835,0.905,0.9025,0.89
wv_3d_noisy,align=0.925_p=0.3,TN,2,"[256, 1, 256, 256]",512,0.0,0.54,0.76911247,0.9975,0.73725,0.73725,0.925,0.925,1.0,0.945,0.945,1.0,0.9525,0.9525,1.0
wv_3d_noisy,align=0.925_p=0.3,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.9975,0.745826,0.9975,0.715,0.715,0.9325,0.9325,1.0,0.945,0.945,1.0,0.94,0.94,1.0
wv_3d_noisy,align=0.925_p=0.5,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.9975,0.669272,0.9975,0.4429999999999999,0.4429999999999999,0.92,0.92,0.94,0.955,0.955,0.9775,0.9675,0.9675,0.9875
wv_3d_noisy,align=0.925_p=0.5,TN,2,"[256, 1, 256, 256]",512,0.0,0.54,0.6683788,0.9975,0.42525,0.42525,0.825,0.825,0.86,0.9375,0.9375,0.9325,0.94,0.94,0.9525
wv_3d_noisy,align=0.925_p=0.6,TN,2,"[256, 1, 256, 256]",512,0.0,0.54,0.6484971,0.995,0.39375,0.39375,0.7525,0.7475,0.795,0.915,0.9125,0.9125,0.96,0.9575,0.9525
wv_3d_noisy,align=0.925_p=0.6,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.9975,0.6644235,1.0,0.39325,0.39325,0.7,0.7,0.73,0.855,0.855,0.8675,0.8525,0.8525,0.915
wv_3d_noisy,align=0.925_p=0.7,TN,2,"[256, 1, 256, 256]",512,0.0,0.54,0.6629061,1.0,0.4282499999999999,0.4282499999999999,0.73,0.73,0.83,0.9075,0.9075,0.9025,0.945,0.945,0.93
