wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,NI_h2h,NO_h2h,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc
wv_3d_linear,align=0.95,TN,1,"[2048, 1, 0, 0]",512,0.0,0.5025126,0.9742143,0.9824120603015076,0.8505025125628141,0.9690117252931324,0.7613065326633166,0.7613065326633166,0.9824120603015076
wv_3d_linear,align=0.67,TN,2,"[1, 0, 0, 0]",512,0.0,0.75376886,0.9799066,0.9773869346733668,0.8450586264656618,0.9736180904522612,0.6633165829145728,0.6633165829145728,0.9773869346733668
wv_3d_linear,align=0.62,MTL0.5,1,"[0, 1, 0, 0]",512,0.5,0.97738695,0.98064905,0.984924623115578,0.8601340033500837,0.8969849246231156,0.8291457286432161,0.8341708542713567,0.9773869346733668
wv_3d_linear,align=0.62,MTL0.8,1,"[0, 1, 0, 0]",512,0.8,0.98994976,0.98185843,0.9949748743718592,0.8299832495812396,0.91750418760469,0.7788944723618091,0.7738693467336684,0.9899497487437184
wv_3d_linear,align=0.62,MTL0.2,1,"[0, 1, 0, 0]",512,0.2,0.9874372,0.97964114,0.9899497487437184,0.8530150753768845,0.9363484087102176,0.7738693467336684,0.7688442211055276,0.9874371859296482
wv_3d_linear,align=0.67,MTL0.5,2,"[1, 0, 0, 0]",512,0.5,0.98994976,0.97706515,0.9874371859296482,0.836683417085427,0.9292294807370184,0.7839195979899497,0.7864321608040201,0.9899497487437184
wv_3d_linear,align=0.67,MTL0.8,2,"[1, 0, 0, 0]",512,0.8,0.9572864,0.9707733,0.9874371859296482,0.8128140703517589,0.9309045226130652,0.8391959798994975,0.8241206030150754,0.957286432160804
wv_3d_linear,align=0.96,MTL0.2,1,"[1, 2048, 0, 0]",512,0.2,0.9723618,0.98517764,0.9824120603015076,0.8601340033500838,0.9560301507537688,0.8391959798994975,0.8417085427135679,0.9723618090452262
wv_3d_linear,align=0.95,MTL0.8,1,"[2048, 1, 0, 0]",512,0.8,0.9874372,0.9742143,0.9824120603015076,0.8132328308207706,0.9300670016750416,0.8844221105527639,0.8819095477386935,0.9874371859296482
wv_3d_linear_unfiltered,align=0.95,TN,1,"[2048, 1, 0, 0]",512,0.0,0.5025126,0.9835,0.8869346733668342,0.8710217755443885,0.9782244556113904,0.8291457286432161,0.8291457286432161,0.8869346733668342
wv_3d_linear,align=0.95,MTL0.5,1,"[2048, 1, 0, 0]",512,0.5,0.9748744,0.97985494,0.9798994974874372,0.8316582914572864,0.9057788944723616,0.8793969849246231,0.8768844221105527,0.9748743718592964
