wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_1nn_acc,NI_h2h,NO_h2h,NINO_ds_acc,rNINO_ds_acc,NIFO_ds_acc
wv_3d_linear_num,align=0.62_p=0.015625,TN,2,"[0, 1, 0, 0]",512,0.0,0.9673366834170856,0.6947236180904524,0.960636515912898,0.6306532663316583,0.5452261306532663,0.5477386934673367
wv_3d_linear_num,align=0.62_p=0.0078125,TN,1,"[0, 1, 0, 0]",512,0.0,0.949748743718593,0.6256281407035176,0.9288107202680068,0.6708542713567839,0.6005025125628141,0.635678391959799
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.8,1,"[0, 1, 0, 0]",512,0.8,0.9874371859296482,0.708961474036851,0.8668341708542714,0.8190954773869347,0.8115577889447236,0.9824120603015076
wv_3d_linear_num,align=0.62_p=0.03125,MTL0.2,2,"[0, 1, 0, 0]",512,0.2,0.9798994974874372,0.7269681742043552,0.908291457286432,0.7738693467336684,0.7788944723618091,0.9773869346733668
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.5,1,"[0, 1, 0, 0]",512,0.5,0.9899497487437184,0.6448911222780569,0.8391959798994973,0.7713567839195979,0.7738693467336684,0.9773869346733668
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.8,1,"[0, 1, 0, 0]",512,0.8,0.9874371859296482,0.6813232830820771,0.7768006700167506,0.8944723618090452,0.8894472361809045,0.9748743718592964
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.2,1,"[0, 1, 0, 0]",512,0.2,0.9899497487437184,0.6687604690117253,0.8898659966499163,0.7738693467336684,0.7663316582914573,0.9798994974874372
wv_3d_linear_num,align=0.62_p=0.0078125,TN,1,"[0, 1, 0, 0]",512,0.0,0.9748743718592964,0.4648241206030151,0.9045226130653266,0.8090452261306532,0.5778894472361809,0.4924623115577889
wv_3d_linear_num,align=0.62_p=0.03125,MTL0.5,0,"[0, 1, 0, 0]",512,0.5,0.9974874371859296,0.672110552763819,0.9015912897822446,0.7512562814070352,0.7462311557788944,0.984924623115578
wv_3d_linear_num,align=0.62_p=0.03125,MTL0.8,0,"[0, 1, 0, 0]",512,0.8,0.992462311557789,0.707286432160804,0.8823283082077052,0.7939698492462312,0.7889447236180904,0.9723618090452262
wv_3d_linear_num,align=0.62_p=0.03125,MTL0.5,0,"[0, 1, 0, 0]",512,0.5,0.9949748743718592,0.7139865996649917,0.9292294807370184,0.6758793969849246,0.6683417085427136,0.9748743718592964
wv_3d_linear_num,align=0.62_p=0.03125,MTL0.2,0,"[0, 1, 0, 0]",512,0.2,0.9798994974874372,0.747068676716918,0.928391959798995,0.6859296482412061,0.6834170854271356,0.9748743718592964
wv_3d_linear_num,align=0.62_p=0.03125,TN,0,"[0, 1, 0, 0]",512,0.0,0.9673366834170856,0.6520100502512562,0.9484924623115578,0.678391959798995,0.4974874371859296,0.4623115577889447
wv_3d_linear_num,align=0.62_p=0.03125,MTL0.8,0,"[0, 1, 0, 0]",512,0.8,0.9874371859296482,0.7227805695142379,0.8714405360134002,0.7336683417085427,0.7361809045226131,0.9874371859296482
wv_3d_linear_num,align=0.62_p=0.0625,MTL0.2,0,"[0, 1, 0, 0]",512,0.2,0.9874371859296482,0.7847571189279732,0.9242043551088778,0.7261306532663316,0.7261306532663316,0.9824120603015076
wv_3d_linear_num,align=0.62_p=0.03125,TN,0,"[0, 1, 0, 0]",512,0.0,0.9673366834170856,0.6654103852596315,0.9443048576214408,0.6507537688442211,0.5226130653266332,0.4773869346733668
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.2,2,"[0, 1, 0, 0]",512,0.2,0.9798994974874372,0.6884422110552763,0.8911222780569514,0.7587939698492462,0.7663316582914573,0.9773869346733668
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.5,2,"[0, 1, 0, 0]",512,0.5,0.9874371859296482,0.6716917922948075,0.9028475711892798,0.7311557788944724,0.7336683417085427,0.9798994974874372
wv_3d_linear_num,align=0.62_p=0.0625,MTL0.5,0,"[0, 1, 0, 0]",512,0.5,0.9874371859296482,0.7642378559463987,0.8986599664991625,0.7713567839195979,0.7613065326633166,0.9773869346733668
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.8,2,"[0, 1, 0, 0]",512,0.8,0.9874371859296482,0.6796482412060302,0.8823283082077052,0.7587939698492462,0.7537688442211056,0.984924623115578
wv_3d_linear_num,align=0.62_p=0.0078125,TN,2,"[0, 1, 0, 0]",512,0.0,0.957286432160804,0.5950586264656615,0.9288107202680068,0.6909547738693468,0.5577889447236181,0.550251256281407
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.8,2,"[0, 1, 0, 0]",512,0.8,0.9949748743718592,0.690536013400335,0.8371021775544388,0.8592964824120602,0.8567839195979899,0.984924623115578
wv_3d_linear_num,align=0.62_p=0.0078125,MTL0.5,2,"[0, 1, 0, 0]",512,0.5,0.9899497487437184,0.6587102177554439,0.8090452261306534,0.8366834170854272,0.8366834170854272,0.9798994974874372
wv_3d_linear_num,align=0.62_p=0.0078125,TN,2,"[0, 1, 0, 0]",512,0.0,0.9824120603015076,0.5569514237855947,0.8752093802345059,0.8015075376884422,0.7110552763819096,0.6884422110552764
