name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_1nn_acc,rNINO_ds_acc,align,num,test_clf_acc
MTL0.5,0,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.03125_filtered,wv_3d_linear0_num,0.8700000047683716,1.0,0.7191666666666667,0.7641666666666667,0.7212500000000001,0.7845833333333334,0.9512194991111756,1.0,0.8700000047683716,0.9,0.03125,0
MTL0.8,0,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.03125_filtered,wv_3d_linear0_num,0.9325000047683716,1.0,0.7341666666666665,0.55875,0.7012499999999999,0.6129166666666667,0.9268292784690856,1.0,0.9325000047683716,0.9,0.03125,0
MTL0.8,0,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.015625_filtered,wv_3d_linear0_num,0.9200000166893004,0.9975000023841858,0.6512500000000001,0.5529166666666666,0.6266666666666666,0.6008333333333332,0.931034505367279,1.0,0.9175000190734864,0.9,0.015625,0
MTL0.2,0,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.015625_filtered,wv_3d_linear0_num,0.9325000047683716,1.0,0.7079166666666666,0.5654166666666667,0.6641666666666667,0.61375,0.9425287246704102,1.0,0.9325000047683716,0.9,0.015625,0
TN,0,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.015625_filtered,wv_3d_linear0_num,0.8849999904632568,0.3474999964237213,0.38833333333333336,0.87,0.3741666666666667,0.9025,0.954023003578186,0.995,0.6025000214576721,0.9,0.015625,0
MTL0.5,0,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.015625_filtered,wv_3d_linear0_num,0.915000021457672,1.0,0.6841666666666667,0.5525,0.6495833333333333,0.6,0.9425287246704102,1.0,0.915000021457672,0.9,0.015625,0
MTL0.2,0,"[1, 1000000, 1, 1]",True,50,0.2,align=0.9_p=0.0078125_filtered,wv_3d_linear0_num,0.9350000023841858,0.9975000023841858,0.7079166666666667,0.7608333333333333,0.7020833333333334,0.7054166666666667,0.931818187236786,1.0,0.9350000023841858,0.9,0.0078125,0
TN,0,"[1, 1000000, 1, 1]",True,50,0.0,align=0.9_p=0.0078125_filtered,wv_3d_linear0_num,0.824999988079071,0.3975000083446502,0.4575,0.8858333333333334,0.44083333333333335,0.9275,0.9090909361839294,0.9975,0.47999998927116394,0.9,0.0078125,0
MTL0.5,0,"[1, 1000000, 1, 1]",True,50,0.5,align=0.9_p=0.0078125_filtered,wv_3d_linear0_num,0.9075000286102296,0.9975000023841858,0.6691666666666668,0.805,0.6608333333333333,0.7245833333333334,0.9090909361839294,1.0,0.9049999713897704,0.9,0.0078125,0
MTL0.8,0,"[1, 1000000, 1, 1]",True,50,0.8,align=0.9_p=0.0078125_filtered,wv_3d_linear0_num,0.9200000166893004,1.0,0.6737500000000001,0.765,0.6504166666666666,0.6758333333333333,0.9090909361839294,1.0,0.9200000166893004,0.9,0.0078125,0
