agent,name,model,seed,test_clf_acc,test_1nn_acc,test_triplet_acc,NINO_ds_acc,NIFO_ds_acc,rNINO_ds_acc,2_NINO_ds_acc,3_NINO_ds_acc,2_NIFO_ds_acc,3_NIFO_ds_acc,2_rNINO_ds_acc,3_rNINO_ds_acc,NIs,NI_acc,NO_acc
MTL0s0,MTL1s0,MTL1,0,0.925000011920929,0.9,0.6237499713897705,0.875,0.9,0.875,0.85,0.875,0.875,0.9,0.85,0.875,"[[ 39]
 [ 20]
 [ 23]
 [ 20]
 [ 20]
 [ 20]
 [ 20]
 [ 18]
 [ 23]
 [ 20]
 [ 27]
 [ 52]
 [ 18]
 [ 52]
 [ 44]
 [ 52]
 [ 18]
 [ 18]
 [ 37]
 [ 41]
 [ 62]
 [ 79]
 [ 79]
 [ 77]
 [ 85]
 [ 85]
 [ 62]
 [ 77]
 [ 69]
 [ 89]
 [ 95]
 [117]
 [110]
 [ 93]
 [112]
 [ 92]
 [101]
 [ 93]
 [116]
 [ 92]]",0.45,0.95
MTL0s0,MTL1s1,MTL1,1,0.925000011920929,0.925,0.5949999690055847,0.875,0.95,0.875,0.85,0.875,0.95,0.9,0.85,0.875,"[[ 14]
 [ 18]
 [ 18]
 [ 59]
 [ 25]
 [ 33]
 [ 18]
 [ 25]
 [ 18]
 [ 36]
 [ 25]
 [ 30]
 [ 25]
 [ 29]
 [ 30]
 [ 30]
 [ 25]
 [ 36]
 [ 57]
 [ 27]
 [ 91]
 [ 71]
 [ 71]
 [ 62]
 [ 62]
 [ 65]
 [ 71]
 [ 70]
 [ 71]
 [ 71]
 [111]
 [ 99]
 [ 71]
 [ 99]
 [ 99]
 [ 99]
 [ 99]
 [ 99]
 [ 99]
 [103]]",0.4625,0.8
MTL0s0,MTL1s2,MTL1,2,0.949999988079071,0.925,0.6225000023841858,0.875,0.8,0.85,0.9,0.9,0.825,0.875,0.9,0.875,"[[ 21]
 [ 52]
 [ 20]
 [ 21]
 [ 10]
 [ 20]
 [ 20]
 [ 20]
 [ 52]
 [ 21]
 [ 52]
 [ 37]
 [ 52]
 [ 52]
 [ 37]
 [ 37]
 [ 37]
 [ 52]
 [ 52]
 [ 52]
 [ 67]
 [ 83]
 [ 61]
 [ 91]
 [ 63]
 [ 65]
 [ 82]
 [ 65]
 [ 83]
 [ 74]
 [ 95]
 [117]
 [ 97]
 [116]
 [118]
 [101]
 [111]
 [ 97]
 [ 99]
 [104]]",0.35,0.75
MTL0s0,MTL1s3,MTL1,3,0.925000011920929,0.925,0.6162499785423279,0.775,0.7,0.775,0.875,0.825,0.775,0.875,0.9,0.875,"[[ 59]
 [ 23]
 [ 21]
 [ 59]
 [ 37]
 [ 37]
 [ 20]
 [ 37]
 [ 37]
 [ 21]
 [ 37]
 [ 37]
 [ 37]
 [ 37]
 [ 53]
 [ 58]
 [ 37]
 [ 37]
 [ 37]
 [ 56]
 [ 70]
 [ 79]
 [ 79]
 [ 65]
 [ 61]
 [ 73]
 [ 61]
 [ 82]
 [ 79]
 [ 61]
 [ 93]
 [106]
 [106]
 [ 93]
 [106]
 [117]
 [101]
 [ 93]
 [ 99]
 [118]]",0.4,0.6
MTL0s0,MTL1s4,MTL1,4,0.975000023841858,0.975,0.6312499642372131,0.925,0.9,0.9,0.95,0.975,0.925,0.9,0.925,0.95,"[[ 39]
 [ 21]
 [ 39]
 [  0]
 [  3]
 [ 37]
 [ 19]
 [  7]
 [ 20]
 [ 49]
 [ 25]
 [ 29]
 [ 25]
 [ 37]
 [ 25]
 [ 27]
 [ 25]
 [ 37]
 [ 29]
 [ 37]
 [ 69]
 [ 81]
 [ 69]
 [ 69]
 [ 69]
 [ 69]
 [ 91]
 [ 69]
 [ 75]
 [ 69]
 [ 99]
 [103]
 [ 69]
 [ 93]
 [103]
 [103]
 [ 99]
 [103]
 [103]
 [103]]",0.5,0.5
MTL0s1,MTL0s0,MTL0,0,0.4749999940395355,0.825,0.7212499976158142,0.875,1.0,0.875,0.85,0.85,1.0,1.0,0.85,0.85,"[[ 39]
 [  5]
 [  5]
 [  5]
 [ 49]
 [ 25]
 [  5]
 [ 19]
 [  0]
 [  5]
 [ 25]
 [ 29]
 [ 25]
 [ 29]
 [ 29]
 [ 29]
 [ 25]
 [ 29]
 [ 42]
 [ 58]
 [ 67]
 [ 79]
 [ 79]
 [ 91]
 [ 91]
 [ 91]
 [ 91]
 [ 69]
 [ 69]
 [ 91]
 [ 95]
 [109]
 [109]
 [ 95]
 [117]
 [102]
 [ 95]
 [117]
 [112]
 [103]]",0.7,1.0
MTL0s1,MTL0s1,MTL0,1,0.550000011920929,0.9,0.7099999785423279,0.8,1.0,0.825,0.875,0.9,1.0,1.0,0.875,0.9,"[[ 14]
 [ 10]
 [  1]
 [ 59]
 [ 25]
 [  1]
 [ 10]
 [ 14]
 [ 10]
 [ 49]
 [ 25]
 [ 42]
 [ 25]
 [ 46]
 [ 36]
 [ 46]
 [ 25]
 [ 44]
 [ 42]
 [ 46]
 [ 91]
 [ 66]
 [ 62]
 [ 60]
 [ 78]
 [ 89]
 [ 71]
 [ 70]
 [ 91]
 [ 71]
 [ 93]
 [109]
 [114]
 [ 93]
 [114]
 [110]
 [ 95]
 [109]
 [110]
 [114]]",0.7625,0.975
MTL0s1,MTL0s2,MTL0,2,0.4500000178813934,0.925,0.7212499976158142,0.9,0.975,0.9,0.9,0.9,1.0,1.0,0.9,0.9,"[[ 21]
 [ 19]
 [ 12]
 [ 19]
 [ 49]
 [ 29]
 [ 19]
 [ 19]
 [ 20]
 [ 19]
 [ 29]
 [ 29]
 [ 29]
 [ 29]
 [ 29]
 [ 29]
 [ 29]
 [ 29]
 [ 42]
 [ 29]
 [ 91]
 [ 70]
 [ 70]
 [ 60]
 [ 60]
 [ 64]
 [ 70]
 [ 70]
 [ 70]
 [ 70]
 [ 95]
 [ 99]
 [109]
 [ 99]
 [ 99]
 [ 99]
 [ 99]
 [ 97]
 [ 99]
 [ 95]]",0.7,0.95
MTL0s1,MTL0s3,MTL0,3,0.550000011920929,0.95,0.7462499737739563,0.8,1.0,0.8,0.85,0.9,1.0,1.0,0.85,0.9,"[[ 18]
 [ 49]
 [ 10]
 [ 59]
 [ 10]
 [ 10]
 [ 17]
 [  8]
 [ 17]
 [ 20]
 [ 43]
 [ 53]
 [ 25]
 [ 46]
 [ 53]
 [ 53]
 [ 53]
 [ 40]
 [ 42]
 [ 46]
 [ 91]
 [ 67]
 [ 89]
 [ 87]
 [ 85]
 [ 64]
 [ 89]
 [ 82]
 [ 70]
 [ 89]
 [ 97]
 [106]
 [117]
 [117]
 [109]
 [117]
 [117]
 [106]
 [117]
 [ 92]]",0.5625,0.95
MTL0s1,MTL0s4,MTL0,4,0.6000000238418579,0.925,0.7475000023841858,0.75,1.0,0.75,0.775,0.825,1.0,1.0,0.775,0.85,"[[  0]
 [ 11]
 [  1]
 [ 20]
 [  1]
 [  5]
 [  5]
 [  7]
 [ 16]
 [  5]
 [ 48]
 [ 48]
 [ 48]
 [ 36]
 [ 46]
 [ 36]
 [ 25]
 [ 40]
 [ 42]
 [ 46]
 [ 89]
 [ 71]
 [ 79]
 [ 60]
 [ 66]
 [ 62]
 [ 75]
 [ 69]
 [ 69]
 [ 75]
 [ 99]
 [ 99]
 [ 86]
 [103]
 [ 99]
 [103]
 [117]
 [ 86]
 [ 99]
 [ 86]]",0.6125,1.0
