name,seed,weights,filtered,embed_dim,lamda,wandb_group,wandb_project,NINO_ds_acc,NIFO_ds_acc,NI_h2h_d50,NO_h2h_d50,NI_h2h_d512,NO_h2h_d512,test_triplet_acc,test_clf_acc,test_1nn_acc,rNINO_ds_acc,align,noise
MTL0.2,1,"[1, 0, 1, 1]",False,512,0.2,align=0.84_p=0.2,wv_squarelin_noisy,0.8525000214576721,0.962499976158142,0.8795833333333333,0.9608333333333332,0.86625,0.965,0.7487500309944153,0.962499976158142,0.98,0.8550000190734863,0.84,0.2
MTL0.8,1,"[1, 0, 1, 1]",False,512,0.8,align=0.84_p=0.2,wv_squarelin_noisy,0.8575000166893005,0.9674999713897704,0.8745833333333334,0.9433333333333334,0.8416666666666667,0.9491666666666666,0.7471250295639038,0.9674999713897704,0.9725,0.8550000190734863,0.84,0.2
MTL0.8,1,"[1, 0, 1, 1]",False,512,0.8,align=0.84_p=0.5,wv_squarelin_noisy,0.7774999737739563,0.8399999737739563,0.61,0.5670833333333333,0.5220833333333333,0.49208333333333326,0.49250003695487976,0.9800000190734864,0.9825,0.7749999761581421,0.84,0.5
MTL0.2,1,"[1, 0, 1, 1]",False,512,0.2,align=0.84_p=0.6,wv_squarelin_noisy,0.6924999952316284,0.7875000238418579,0.5412499999999999,0.5491666666666667,0.46,0.57875,0.4970000088214874,0.9325000047683716,0.9825,0.6924999952316284,0.84,0.6
MTL0.5,1,"[1, 0, 1, 1]",False,512,0.5,align=0.84_p=0.6,wv_squarelin_noisy,0.7450000047683716,0.7099999785423279,0.5554166666666667,0.45125,0.4725,0.4804166666666667,0.4866250157356262,0.9449999928474426,0.975,0.7475000023841858,0.84,0.6
TN,0,"[1, 0, 1, 1]",False,512,0.0,align=0.84_p=0.6,wv_squarelin_noisy,0.7074999809265137,0.574999988079071,0.43375,0.58,0.35625,0.5920833333333334,0.4941250085830689,0.4900000095367432,0.9525,0.6625000238418579,0.84,0.6
MTL0.2,1,"[1, 0, 1, 1]",False,512,0.2,align=0.84_p=0.5,wv_squarelin_noisy,0.8424999713897705,0.8899999856948853,0.6783333333333333,0.56125,0.6066666666666666,0.5916666666666667,0.4896250367164612,0.9725000262260436,0.9775,0.8399999737739563,0.84,0.5
MTL0.8,1,"[1, 0, 1, 1]",False,512,0.8,align=0.84_p=0.4,wv_squarelin_noisy,0.8450000286102295,0.9674999713897704,0.7804166666666666,0.875,0.7341666666666665,0.8925000000000001,0.5562500357627869,0.9674999713897704,0.97,0.8475000262260437,0.84,0.4
TN,0,"[1, 0, 1, 1]",False,512,0.0,align=0.84_p=0.3,wv_squarelin_noisy,0.7724999785423279,0.4900000095367432,0.7454166666666667,0.97125,0.6920833333333333,0.96875,0.6622500419616699,0.4900000095367432,0.945,0.6600000262260437,0.84,0.3
TN,1,"[1, 0, 1, 1]",False,512,0.0,align=0.84_p=0.1,wv_squarelin_noisy,0.7524999976158142,0.5,0.8254166666666668,0.9816666666666668,0.7920833333333333,0.9920833333333334,0.862250030040741,0.5,0.9425,0.6225000023841858,0.84,0.1
