learner,algorithm,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
CV,MMD,0.8474999999999999,0.8399999999999999,0.8850000000000001,0.8699999999999999,0.89,0.8825000000000001,0.8949999999999999,0.8875,0.9,0.8875,0.9025000000000001,0.9075000000000001,0.9025000000000001,0.9174999999999999,0.9099999999999999,0.9174999999999999,0.9099999999999999,0.9124999999999999,0.9125,0.9075,0.9099999999999999,0.9075,0.9075,0.9125,0.9099999999999999,0.9075000000000001,0.915,0.9099999999999999,0.915,0.9099999999999999,0.9099999999999999,0.915,0.9125,0.915,0.915,0.9075000000000001,0.9025000000000001,0.8975,0.9025000000000001,0.9075000000000001
CV,MMD_ste,0.06220932197537728,0.04555624832815943,0.02944668707857957,0.034555021440490434,0.026925055786383927,0.026726344171801614,0.02639183356531158,0.02950696695144865,0.02230517042780995,0.02269998285603176,0.024506702596360754,0.020736440658459095,0.02852720803640488,0.02802448658212212,0.03496397084018824,0.029265102487322548,0.034963970840188235,0.031824673595777564,0.02699096789427869,0.032705799941284745,0.03286838155598224,0.030455222852500064,0.030455222852500064,0.03501475368589117,0.03062975277905022,0.02802448658212212,0.030629752779050216,0.03062975277905022,0.029446687078579576,0.028214056860044703,0.028214056860044703,0.02414145559604861,0.02699096789427869,0.025571160585666344,0.025571160585666344,0.020736440658459077,0.025916266080367817,0.017784289992537696,0.025916266080367817,0.023919630473435278
CV_w=dist,full,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001
CV_w=dist,random,0.76129,0.80359,0.82908,0.8449850000000001,0.8591049999999999,0.8655250000000001,0.8729700000000001,0.87748,0.8822050000000001,0.8850999999999999,0.8873150000000001,0.8899649999999999,0.8916999999999999,0.8943199999999999,0.8944450000000002,0.8960600000000001,0.897085,0.8982900000000003,0.9001050000000002,0.90145,0.9021899999999998,0.9032150000000001,0.9027100000000001,0.9044250000000001,0.9056199999999999,0.9052849999999999,0.9055350000000001,0.90697,0.907205,0.9068900000000001,0.907775,0.907205,0.90898,0.9088749999999999,0.9094800000000001,0.90913,0.909465,0.9105200000000002,0.9097200000000001,0.9110400000000001
CV_w=dist,MMD,0.8474999999999999,0.8925000000000001,0.9025000000000002,0.9075,0.9075,0.9149999999999998,0.9175000000000001,0.9125000000000002,0.915,0.9175000000000002,0.9150000000000003,0.9125,0.9199999999999999,0.9225000000000001,0.9200000000000002,0.9175000000000001,0.915,0.9200000000000002,0.9225000000000001,0.9175000000000001,0.9175000000000001,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9225000000000001,0.9175000000000001,0.9225000000000001,0.9225,0.9225,0.9199999999999999,0.9225,0.9225,0.9225,0.9225,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9174999999999999
CV_w=dist,MMD_ste,0.06220932197537728,0.025361843335760224,0.025916266080367834,0.02238469000419136,0.02238469000419136,0.02557116058566634,0.022384690004191347,0.01931684422622482,0.02262157162740991,0.02391963047343528,0.025571160585666344,0.02107640496532045,0.027705653833487758,0.023010956015440207,0.018470435888991832,0.018945331767478896,0.01727751072024521,0.016434190777991117,0.017784289992537665,0.020736440658459077,0.020736440658459077,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.017784289992537665,0.018945331767478896,0.01565907389141279,0.015659073891412786,0.015659073891412786,0.018470435888991832,0.01968134512528615,0.01968134512528615,0.01968134512528615,0.01968134512528615,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.020736440658459077
CV_w=ddiff,full,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001,0.9225000000000001
CV_w=ddiff,random,0.763915,0.80643,0.82721,0.846735,0.8597150000000001,0.8676999999999999,0.8716750000000001,0.8771699999999999,0.8821100000000002,0.8848900000000001,0.88751,0.8901950000000001,0.891735,0.8931050000000003,0.89506,0.8966449999999998,0.8977300000000001,0.8989149999999999,0.8997550000000001,0.9013899999999999,0.901775,0.90249,0.9028849999999998,0.9039000000000001,0.9044399999999999,0.9059100000000001,0.905695,0.9071149999999999,0.9070300000000001,0.9069699999999999,0.9082249999999998,0.9078550000000002,0.9079900000000001,0.91013,0.9091100000000001,0.90973,0.91016,0.9110799999999999,0.9111800000000002,0.910145
CV_w=ddiff,MMD,0.8474999999999999,0.8925000000000001,0.9025000000000002,0.9099999999999999,0.9099999999999998,0.9175000000000001,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9225000000000001,0.9200000000000002,0.9150000000000003,0.9225000000000001,0.9225000000000001,0.9200000000000002,0.9175000000000001,0.915,0.9200000000000002,0.9225000000000001,0.9175000000000001,0.9175000000000001,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9200000000000002,0.9225000000000001,0.9175000000000001,0.9225000000000001,0.9225,0.9225,0.9199999999999999,0.9225,0.9225,0.9225,0.9225,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9199999999999999,0.9174999999999999
CV_w=ddiff,MMD_ste,0.06220932197537728,0.025361843335760224,0.025916266080367834,0.020991930056383272,0.020991930056383272,0.023919630473435278,0.021984215990870738,0.018470435888991832,0.02030348190166671,0.021410971985002792,0.02354527825563348,0.02099193005638326,0.02725302227185771,0.023010956015440207,0.018470435888991832,0.018945331767478896,0.01727751072024521,0.016434190777991117,0.017784289992537665,0.020736440658459077,0.020736440658459077,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.017784289992537665,0.018945331767478896,0.01565907389141279,0.015659073891412786,0.015659073891412786,0.018470435888991832,0.01968134512528615,0.01968134512528615,0.01968134512528615,0.01968134512528615,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.018470435888991832,0.020736440658459077
