wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5,test_clf_acc,test_triplet_acc
wv_3d_num_triplets,align=0.925_p=0.015625,TN,2,"[256, 1, 256, 256]",512,0.0,0.995,0.63125,0.63125,0.785,0.785,1.0,0.8125,0.8125,1.0,0.855,0.855,1.0,,
wv_3d_num_triplets,align=0.925_p=0.03125,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.995,0.6935,0.6935,0.92,0.9225,1.0,0.94,0.9425,1.0,0.9375,0.9375,1.0,,
wv_3d_num_triplets,align=0.8_p=0.0625,TN,2,"[1, 0, 1, 1]",512,0.0,0.995,0.7302500000000001,0.7302500000000001,0.8575,0.86,1.0,0.865,0.865,1.0,0.8525,0.8525,1.0,,
wv_3d_num_triplets,align=0.8_p=0.0625,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.995,0.7132499999999999,0.7132499999999999,0.905,0.9075,1.0,0.895,0.895,1.0,0.8875,0.8875,1.0,,
wv_3d_num_triplets,align=0.8_p=0.125,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.995,0.7755000000000001,0.7755000000000001,0.93,0.93,1.0,0.9,0.9,1.0,0.9025,0.9025,1.0,,
wv_3d_num_triplets,align=0.8_p=0.125,TN,2,"[1, 0, 1, 1]",512,0.0,0.9975,0.8012499999999999,0.8012499999999999,0.8075,0.8075,1.0,0.83,0.83,1.0,0.805,0.805,1.0,,
wv_3d_num_triplets,align=0.925_p=0.03125,TN,2,"[256, 1, 256, 256]",512,0.0,0.9975,0.7285,0.7285,0.875,0.875,1.0,0.9025,0.905,1.0,0.9,0.9,1.0,,
wv_3d_num_triplets,align=0.925_p=0.0625,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.995,0.7505,0.7505,0.9125,0.9125,1.0,0.9275,0.9275,1.0,0.9425,0.9425,1.0,,
wv_3d_num_triplets,align=0.925_p=0.0625,TN,2,"[256, 1, 256, 256]",512,0.0,1.0,0.7779999999999999,0.7779999999999999,0.8625,0.8625,1.0,0.885,0.885,1.0,0.89,0.89,1.0,,
wv_3d_num_triplets,align=0.8_p=0.25,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.995,0.81425,0.81425,0.9275,0.9325,1.0,0.905,0.9075,1.0,0.8975,0.9,1.0,,
wv_3d_num_triplets,align=0.8_p=0.25,TN,2,"[1, 0, 1, 1]",512,0.0,0.995,0.8452499999999998,0.8452499999999998,0.8975,0.8975,1.0,0.8625,0.8625,1.0,0.8525,0.8525,1.0,,
wv_3d_num_triplets,align=0.925_p=0.125,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.995,0.7615000000000001,0.7615000000000001,0.915,0.915,1.0,0.9375,0.9375,1.0,0.9325,0.9325,1.0,,
wv_3d_num_triplets,align=0.925_p=0.125,TN,2,"[256, 1, 256, 256]",512,0.0,0.995,0.8092500000000001,0.8092500000000001,0.905,0.905,1.0,0.9175,0.92,1.0,0.9225,0.925,1.0,,
wv_3d_num_triplets,align=0.8_p=0.5,MTL0.5,2,"[1, 0, 1, 1]",512,0.5,0.9975,0.8575000000000002,0.8575000000000002,0.93,0.93,1.0,0.915,0.915,1.0,0.925,0.925,1.0,,
wv_3d_num_triplets,align=0.925_p=0.25,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.995,0.8072499999999998,0.8072499999999998,0.93,0.9275,1.0,0.945,0.945,1.0,0.9525,0.9525,1.0,,
wv_3d_num_triplets,align=0.8_p=0.5,TN,2,"[1, 0, 1, 1]",512,0.0,0.995,0.8622500000000001,0.8622500000000001,0.9525,0.9525,1.0,0.945,0.945,1.0,0.935,0.9375,1.0,,
wv_3d_num_triplets,align=0.925_p=0.25,TN,2,"[256, 1, 256, 256]",512,0.0,0.9975,0.8107500000000002,0.8107500000000002,0.905,0.905,1.0,0.94,0.94,1.0,0.95,0.95,1.0,,
wv_3d_num_triplets,align=0.925_p=0.5,MTL0.5,2,"[256, 1, 256, 256]",512,0.5,0.995,0.8147500000000001,0.8147500000000001,0.92,0.9175,1.0,0.9325,0.93,1.0,0.9525,0.95,1.0,,
wv_3d_num_triplets,align=0.925_p=0.5,TN,2,"[256, 1, 256, 256]",512,0.0,0.995,0.8425,0.8425,0.935,0.935,1.0,0.945,0.945,1.0,0.9375,0.9375,1.0,,
