weights,scores
"[0, 0, 0, -10000]",0.4375
"[0, -10000, 0, 0]",0.4375
"[0, -100, -100, 0]",0.4375
"[0, 1, 100, 0]",0.671875
"[-10000, 0, 100, -1]",0.390625
"[-1, 10000, 0, 0]",0.5
"[-1, 0, 0, 10000]",0.5
"[0, 10000, 1, 100]",0.59375
"[0, -100, -1, -100]",0.4375
"[10000, 0, 0, 0]",0.703125
"[1, -10000, 0, 1]",0.4375
"[0, -1, 10000, 0]",0.359375
"[-100, 0, 0, 100]",0.3125
"[100, 100, 0, 0]",1.0
"[-10000, 0, 0, -1]",0.4375
"[-10000, 1, 1, -10000]",0.4375
"[-1, 0, -10000, 0]",0.4375
"[0, 1, 0, -100]",0.453125
"[0, 0, 0, 100]",0.453125
"[1, 0, -10000, -1]",0.4375
"[0, 0, -100, 0]",0.4375
"[10000, -1, -1, 0]",0.625
"[0, 0, 0, -100]",0.4375
"[-1, 1, 0, -100]",0.453125
"[0, 0, 1, 0]",0.453125
"[0, 100, 0, 0]",0.65625
"[-100, 0, 0, 1]",0.390625
"[-100, 0, 0, 100]",0.3125
"[1, -10000, 0, -10000]",0.4375
"[0, 0, 0, -100]",0.4375
"[-100, -1, -10000, 0]",0.4375
"[1, 1, 100, 0]",0.828125
"[0, 0, -10000, 100]",0.4375
"[10000, -10000, 10000, 0]",0.5625
"[0, 100, -100, 0]",0.734375
"[0, -100, 0, 100]",0.28125
"[0, 0, 0, 0]",0.4375
"[-1, 1, 0, 1]",0.4375
"[10000, 10000, 100, 0]",1.0
"[0, -100, -10000, 0]",0.4375
"[0, 0, 0, -100]",0.4375
"[0, 0, 1, -100]",0.4375
"[10000, 0, 0, 10000]",0.625
"[0, 1, -1, 0]",0.734375
"[-100, 100, 0, 0]",0.546875
"[-100, 0, 10000, 10000]",0.390625
"[10000, 100, -100, 0]",0.8125
"[0, -1, 0, -100]",0.4375
"[0, 0, 0, 10000]",0.453125
"[-10000, -10000, -10000, -1]",0.4375
"[-1, -100, 1, 0]",0.421875
"[0, -10000, 0, 0]",0.4375
"[-10000, 0, 0, 0]",0.4375
"[1, 0, -10000, -10000]",0.4375
"[-10000, 0, -1, -100]",0.4375
"[0, -100, 10000, 0]",0.46875
"[0, -100, 1, 0]",0.421875
"[10000, 0, 0, -1]",0.6875
"[0, 0, 10000, -1]",0.453125
"[0, 10000, -100, -10000]",0.734375
"[100, -1, 0, 0]",0.625
"[-10000, -1, 100, 100]",0.390625
"[0, 100, -10000, 10000]",0.65625
"[0, 0, 0, -100]",0.4375
"[-10000, 0, 100, 0]",0.390625
"[0, 10000, -1, 0]",0.65625
"[0, 100, -1, -1]",0.6875
"[-10000, 1, 0, -10000]",0.4375
"[0, -1, 100, 0]",0.46875
"[100, -100, 0, -100]",0.515625
"[10000, 100, 0, 10000]",0.78125
"[10000, 0, 0, 0]",0.703125
"[1, 0, 0, -1]",0.65625
"[10000, -1, 0, 0]",0.53125
"[0, 10000, 0, 1]",0.546875
"[-100, 0, -10000, 1]",0.4375
"[1, 100, -10000, 10000]",0.984375
"[0, -10000, 0, -1]",0.4375
"[100, 0, -100, 0]",0.65625
"[0, -10000, -1, -100]",0.4375
"[-1, -100, 0, 0]",0.4375
"[-100, 100, 0, 0]",0.546875
"[1, 0, 10000, 0]",0.5
"[0, 0, 0, -100]",0.4375
"[0, 0, -1, 0]",0.4375
"[10000, 0, -100, 0]",0.734375
"[-10000, -100, 0, -1]",0.4375
"[0, 0, -1, -10000]",0.4375
"[-100, 0, -100, 0]",0.4375
"[1, 0, 100, 0]",0.546875
"[0, 0, -1, -100]",0.4375
"[-1, 1, 0, -100]",0.453125
"[0, 10000, 0, 0]",0.65625
"[0, 0, 0, 1]",0.453125
"[-10000, -1, 100, -10000]",0.4375
"[-100, 0, 0, 0]",0.4375
"[-1, 1, 100, 0]",0.40625
"[0, -10000, 100, 0]",0.421875
"[0, 10000, -1, 0]",0.65625
"[-1, 0, 0, -100]",0.4375
"[10000, -10000, 0, -1]",0.453125
"[100, 0, -1, 0]",0.734375
