split_pool,fold,condition,q_a,q_p,q_n,pred,pred_time
dc3,NINO,mtl1_d512,img/bm/test/1/194.jpg,img/bm/train/1/139.jpg,img/bm/train/0/83.jpg,0,-1.0
dc3,NINO,mtl1_d512,img/bm/test/0/43.jpg,img/bm/train/0/83.jpg,img/bm/train/1/100.jpg,1,3.994164
dc3,NINO,mtl1_d512,img/bm/test/0/42.jpg,img/bm/train/0/83.jpg,img/bm/train/1/137.jpg,1,29.625115
dc3,NINO,mtl1_d512,img/bm/test/0/92.jpg,img/bm/train/0/71.jpg,img/bm/train/1/137.jpg,0,17.528369
dc3,NINO,mtl1_d512,img/bm/test/1/192.jpg,img/bm/train/1/137.jpg,img/bm/train/0/83.jpg,0,10.126164
dc3,NINO,mtl1_d512,img/bm/test/0/90.jpg,img/bm/train/0/71.jpg,img/bm/train/1/137.jpg,1,20.788122
dc3,NINO,mtl1_d512,img/bm/test/0/46.jpg,img/bm/train/0/83.jpg,img/bm/train/1/100.jpg,1,21.903784
dc3,NINO,mtl1_d512,img/bm/test/0/45.jpg,img/bm/train/0/71.jpg,img/bm/train/1/139.jpg,1,33.091965
dc3,NINO,mtl1_d512,img/bm/test/1/147.jpg,img/bm/train/1/153.jpg,img/bm/train/0/80.jpg,1,20.12217
dc3,NINO,mtl1_d512,img/bm/test/0/96.jpg,img/bm/train/0/18.jpg,img/bm/train/1/137.jpg,0,13.853304
dc3,NINO,mtl1_d512,img/bm/test/0/94.jpg,img/bm/train/0/54.jpg,img/bm/train/1/137.jpg,0,36.316716
dc3,NINO,mtl1_d512,img/bm/test/1/197.jpg,img/bm/train/1/127.jpg,img/bm/train/0/79.jpg,0,11.139051
dc3,NINO,mtl1_d512,img/bm/test/1/145.jpg,img/bm/train/1/107.jpg,img/bm/train/0/80.jpg,1,7.71988
dc3,NINO,mtl1_d512,img/bm/test/0/98.jpg,img/bm/train/0/71.jpg,img/bm/train/1/137.jpg,0,55.621475
dc3,NINO,mtl1_d512,img/bm/test/0/44.jpg,img/bm/train/0/71.jpg,img/bm/train/1/137.jpg,1,7.581295
dc3,NINO,mtl1_d512,img/bm/test/0/93.jpg,img/bm/train/0/71.jpg,img/bm/train/1/137.jpg,0,20.343389
dc3,NINO,mtl1_d512,img/bm/test/1/195.jpg,img/bm/train/1/139.jpg,img/bm/train/0/83.jpg,1,13.278261
dc3,NINO,mtl1_d512,img/bm/test/1/191.jpg,img/bm/train/1/120.jpg,img/bm/train/0/79.jpg,1,14.832896
dc3,NINO,mtl1_d512,img/bm/test/0/49.jpg,img/bm/train/0/83.jpg,img/bm/train/1/137.jpg,1,16.818088
dc3,NINO,mtl1_d512,img/bm/test/0/91.jpg,img/bm/train/0/18.jpg,img/bm/train/1/137.jpg,0,31.828649
dc3,NINO,mtl1_d512,img/bm/test/0/95.jpg,img/bm/train/0/18.jpg,img/bm/train/1/137.jpg,0,25.659354
dc3,NINO,mtl1_d512,img/bm/test/0/99.jpg,img/bm/train/0/71.jpg,img/bm/train/1/137.jpg,0,5.285771
dc3,NINO,mtl1_d512,img/bm/test/1/198.jpg,img/bm/train/1/139.jpg,img/bm/train/0/83.jpg,0,19.303084
dc3,NINO,mtl1_d512,img/bm/test/0/41.jpg,img/bm/train/0/71.jpg,img/bm/train/1/137.jpg,1,7.981244
dc3,NINO,mtl1_d512,img/bm/test/1/143.jpg,img/bm/train/1/139.jpg,img/bm/train/0/83.jpg,1,28.167792
dc3,NINO,mtl1_d512,img/bm/test/1/149.jpg,img/bm/train/1/127.jpg,img/bm/train/0/79.jpg,1,14.70238
dc3,NINO,mtl1_d512,img/bm/test/1/199.jpg,img/bm/train/1/139.jpg,img/bm/train/0/83.jpg,0,17.764067
dc3,NINO,mtl1_d512,img/bm/test/1/142.jpg,img/bm/train/1/128.jpg,img/bm/train/0/79.jpg,1,35.557575
dc3,NINO,mtl1_d512,img/bm/test/1/141.jpg,img/bm/train/1/137.jpg,img/bm/train/0/83.jpg,1,20.210515
dc3,NINO,mtl1_d512,img/bm/test/0/40.jpg,img/bm/train/0/12.jpg,img/bm/train/1/137.jpg,0,18.886579
dc3,NINO,mtl1_d512,img/bm/test/1/193.jpg,img/bm/train/1/127.jpg,img/bm/train/0/79.jpg,0,4.958828
dc3,NINO,mtl1_d512,img/bm/test/0/97.jpg,img/bm/train/0/83.jpg,img/bm/train/1/137.jpg,0,18.269781
dc3,NINO,mtl1_d512,img/bm/test/1/190.jpg,img/bm/train/1/137.jpg,img/bm/train/0/83.jpg,0,6.124202
dc3,NINO,mtl1_d512,img/bm/test/1/140.jpg,img/bm/train/1/172.jpg,img/bm/train/0/79.jpg,0,27.129164
dc3,NINO,mtl1_d512,img/bm/test/1/144.jpg,img/bm/train/1/139.jpg,img/bm/train/0/83.jpg,1,2.923511
dc3,NINO,mtl1_d512,img/bm/test/1/146.jpg,img/bm/train/1/152.jpg,img/bm/train/0/79.jpg,1,3.849037
dc3,NINO,mtl1_d512,img/bm/test/0/48.jpg,img/bm/train/0/54.jpg,img/bm/train/1/139.jpg,1,2.757327
dc3,NINO,mtl1_d512,img/bm/test/1/196.jpg,img/bm/train/1/127.jpg,img/bm/train/0/79.jpg,0,2.128675
dc3,NINO,mtl1_d512,img/bm/test/1/148.jpg,img/bm/train/1/139.jpg,img/bm/train/0/79.jpg,1,2.230928
dc3,NINO,mtl1_d512,img/bm/test/0/47.jpg,img/bm/train/0/83.jpg,img/bm/train/1/139.jpg,1,2.951974
dc4,NIFO,mtl1_d512,img/bm/test/1/196.jpg,img/bm/train/1/127.jpg,img/bm/train/0/51.jpg,1,-1.0
dc4,NIFO,mtl1_d512,img/bm/test/1/198.jpg,img/bm/train/1/139.jpg,img/bm/train/0/51.jpg,1,5.478343
dc4,NIFO,mtl1_d512,img/bm/test/1/199.jpg,img/bm/train/1/139.jpg,img/bm/train/0/51.jpg,0,6.006343
dc4,NIFO,mtl1_d512,img/bm/test/1/148.jpg,img/bm/train/1/139.jpg,img/bm/train/0/51.jpg,1,6.111655
dc4,NIFO,mtl1_d512,img/bm/test/1/147.jpg,img/bm/train/1/153.jpg,img/bm/train/0/51.jpg,1,8.557128
dc4,NIFO,mtl1_d512,img/bm/test/0/91.jpg,img/bm/train/0/18.jpg,img/bm/train/1/173.jpg,0,3.55878
dc4,NIFO,mtl1_d512,img/bm/test/0/97.jpg,img/bm/train/0/83.jpg,img/bm/train/1/166.jpg,1,3.313744
dc4,NIFO,mtl1_d512,img/bm/test/0/98.jpg,img/bm/train/0/71.jpg,img/bm/train/1/173.jpg,0,7.306518
dc4,NIFO,mtl1_d512,img/bm/test/1/195.jpg,img/bm/train/1/139.jpg,img/bm/train/0/51.jpg,1,3.579387
dc4,NIFO,mtl1_d512,img/bm/test/0/94.jpg,img/bm/train/0/54.jpg,img/bm/train/1/173.jpg,0,3.055125
dc4,NIFO,mtl1_d512,img/bm/test/1/192.jpg,img/bm/train/1/137.jpg,img/bm/train/0/51.jpg,1,2.729622
dc4,NIFO,mtl1_d512,img/bm/test/0/40.jpg,img/bm/train/0/12.jpg,img/bm/train/1/173.jpg,0,3.02471
dc4,NIFO,mtl1_d512,img/bm/test/1/193.jpg,img/bm/train/1/127.jpg,img/bm/train/0/51.jpg,1,3.085802
dc4,NIFO,mtl1_d512,img/bm/test/1/141.jpg,img/bm/train/1/137.jpg,img/bm/train/0/51.jpg,1,8.160661
dc4,NIFO,mtl1_d512,img/bm/test/0/44.jpg,img/bm/train/0/71.jpg,img/bm/train/1/173.jpg,0,4.296597
dc4,NIFO,mtl1_d512,img/bm/test/0/41.jpg,img/bm/train/0/71.jpg,img/bm/train/1/173.jpg,0,3.27672
dc4,NIFO,mtl1_d512,img/bm/test/0/93.jpg,img/bm/train/0/71.jpg,img/bm/train/1/173.jpg,0,4.146572
dc4,NIFO,mtl1_d512,img/bm/test/0/47.jpg,img/bm/train/0/83.jpg,img/bm/train/1/161.jpg,1,4.027158
dc4,NIFO,mtl1_d512,img/bm/test/0/95.jpg,img/bm/train/0/18.jpg,img/bm/train/1/173.jpg,0,4.21254
dc4,NIFO,mtl1_d512,img/bm/test/0/46.jpg,img/bm/train/0/83.jpg,img/bm/train/1/173.jpg,0,5.171471
dc4,NIFO,mtl1_d512,img/bm/test/0/48.jpg,img/bm/train/0/54.jpg,img/bm/train/1/173.jpg,0,2.65399
dc4,NIFO,mtl1_d512,img/bm/test/1/140.jpg,img/bm/train/1/172.jpg,img/bm/train/0/51.jpg,1,2.552652
dc4,NIFO,mtl1_d512,img/bm/test/1/143.jpg,img/bm/train/1/139.jpg,img/bm/train/0/51.jpg,1,4.585895
dc4,NIFO,mtl1_d512,img/bm/test/1/146.jpg,img/bm/train/1/152.jpg,img/bm/train/0/51.jpg,1,3.033915
dc4,NIFO,mtl1_d512,img/bm/test/1/191.jpg,img/bm/train/1/120.jpg,img/bm/train/0/51.jpg,1,4.054331
dc4,NIFO,mtl1_d512,img/bm/test/1/190.jpg,img/bm/train/1/137.jpg,img/bm/train/0/7.jpg,1,4.268386
dc4,NIFO,mtl1_d512,img/bm/test/0/92.jpg,img/bm/train/0/71.jpg,img/bm/train/1/173.jpg,0,9.063307
dc4,NIFO,mtl1_d512,img/bm/test/1/145.jpg,img/bm/train/1/107.jpg,img/bm/train/0/51.jpg,1,2.280794
dc4,NIFO,mtl1_d512,img/bm/test/1/142.jpg,img/bm/train/1/128.jpg,img/bm/train/0/51.jpg,1,2.747624
dc4,NIFO,mtl1_d512,img/bm/test/0/43.jpg,img/bm/train/0/83.jpg,img/bm/train/1/173.jpg,0,3.553375
dc4,NIFO,mtl1_d512,img/bm/test/0/96.jpg,img/bm/train/0/18.jpg,img/bm/train/1/173.jpg,0,2.798457
dc4,NIFO,mtl1_d512,img/bm/test/0/99.jpg,img/bm/train/0/71.jpg,img/bm/train/1/173.jpg,0,4.310532
dc4,NIFO,mtl1_d512,img/bm/test/0/42.jpg,img/bm/train/0/83.jpg,img/bm/train/1/173.jpg,0,4.024464
dc4,NIFO,mtl1_d512,img/bm/test/1/194.jpg,img/bm/train/1/139.jpg,img/bm/train/0/51.jpg,1,3.636206
dc4,NIFO,mtl1_d512,img/bm/test/1/149.jpg,img/bm/train/1/127.jpg,img/bm/train/0/51.jpg,1,2.417909
dc4,NIFO,mtl1_d512,img/bm/test/1/144.jpg,img/bm/train/1/139.jpg,img/bm/train/0/7.jpg,1,2.816471
dc4,NIFO,mtl1_d512,img/bm/test/0/90.jpg,img/bm/train/0/71.jpg,img/bm/train/1/173.jpg,0,2.707961
dc4,NIFO,mtl1_d512,img/bm/test/0/49.jpg,img/bm/train/0/83.jpg,img/bm/train/1/173.jpg,0,3.988138
dc4,NIFO,mtl1_d512,img/bm/test/0/45.jpg,img/bm/train/0/71.jpg,img/bm/train/1/166.jpg,1,5.170311
dc4,NIFO,mtl1_d512,img/bm/test/1/197.jpg,img/bm/train/1/127.jpg,img/bm/train/0/51.jpg,1,3.940978
dc0,RIRO,random,img/bm/test/1/142.jpg,img/bm/train/0/53.jpg,img/bm/train/1/122.jpg,1,-1.0
dc0,RIRO,random,img/bm/test/1/140.jpg,img/bm/train/0/60.jpg,img/bm/train/1/131.jpg,1,6.505108
dc0,RIRO,random,img/bm/test/1/145.jpg,img/bm/train/0/2.jpg,img/bm/train/1/109.jpg,1,5.60018
dc0,RIRO,random,img/bm/test/0/44.jpg,img/bm/train/0/13.jpg,img/bm/train/1/122.jpg,0,5.879181
dc0,RIRO,random,img/bm/test/0/90.jpg,img/bm/train/0/65.jpg,img/bm/train/1/163.jpg,0,4.481964
dc0,RIRO,random,img/bm/test/0/95.jpg,img/bm/train/0/13.jpg,img/bm/train/1/124.jpg,1,5.811135
dc0,RIRO,random,img/bm/test/1/148.jpg,img/bm/train/0/81.jpg,img/bm/train/1/130.jpg,1,5.000926
dc0,RIRO,random,img/bm/test/0/91.jpg,img/bm/train/0/34.jpg,img/bm/train/1/172.jpg,0,5.652181
dc0,RIRO,random,img/bm/test/0/98.jpg,img/bm/train/0/23.jpg,img/bm/train/1/173.jpg,0,5.465717
dc0,RIRO,random,img/bm/test/1/149.jpg,img/bm/train/0/60.jpg,img/bm/train/1/111.jpg,1,3.43862
dc0,RIRO,random,img/bm/test/1/147.jpg,img/bm/train/0/55.jpg,img/bm/train/1/110.jpg,1,3.735586
dc0,RIRO,random,img/bm/test/1/195.jpg,img/bm/train/0/67.jpg,img/bm/train/1/180.jpg,1,3.176527
dc0,RIRO,random,img/bm/test/1/197.jpg,img/bm/train/0/7.jpg,img/bm/train/1/167.jpg,1,2.768252
dc0,RIRO,random,img/bm/test/0/42.jpg,img/bm/train/0/5.jpg,img/bm/train/1/189.jpg,0,7.869975
dc0,RIRO,random,img/bm/test/1/199.jpg,img/bm/train/0/55.jpg,img/bm/train/1/184.jpg,1,3.212691
dc0,RIRO,random,img/bm/test/1/190.jpg,img/bm/train/0/79.jpg,img/bm/train/1/183.jpg,0,4.24512
dc0,RIRO,random,img/bm/test/1/194.jpg,img/bm/train/0/8.jpg,img/bm/train/1/161.jpg,1,4.16559
dc0,RIRO,random,img/bm/test/0/96.jpg,img/bm/train/0/80.jpg,img/bm/train/1/119.jpg,0,5.636237
dc0,RIRO,random,img/bm/test/1/196.jpg,img/bm/train/0/25.jpg,img/bm/train/1/116.jpg,1,3.368249
dc0,RIRO,random,img/bm/test/0/48.jpg,img/bm/train/0/35.jpg,img/bm/train/1/113.jpg,0,2.367464
dc0,RIRO,random,img/bm/test/0/93.jpg,img/bm/train/0/63.jpg,img/bm/train/1/132.jpg,0,3.767971
dc0,RIRO,random,img/bm/test/0/45.jpg,img/bm/train/0/31.jpg,img/bm/train/1/177.jpg,0,3.122622
dc0,RIRO,random,img/bm/test/0/97.jpg,img/bm/train/0/80.jpg,img/bm/train/1/105.jpg,0,2.726475
dc0,RIRO,random,img/bm/test/0/94.jpg,img/bm/train/0/20.jpg,img/bm/train/1/108.jpg,0,3.266704
dc0,RIRO,random,img/bm/test/1/193.jpg,img/bm/train/0/61.jpg,img/bm/train/1/181.jpg,1,3.179153
dc0,RIRO,random,img/bm/test/0/47.jpg,img/bm/train/0/9.jpg,img/bm/train/1/131.jpg,0,2.396498
dc0,RIRO,random,img/bm/test/1/192.jpg,img/bm/train/0/0.jpg,img/bm/train/1/100.jpg,1,7.275903
dc0,RIRO,random,img/bm/test/0/41.jpg,img/bm/train/0/82.jpg,img/bm/train/1/100.jpg,1,3.640437
dc0,RIRO,random,img/bm/test/1/146.jpg,img/bm/train/0/87.jpg,img/bm/train/1/150.jpg,0,3.981054
dc0,RIRO,random,img/bm/test/0/92.jpg,img/bm/train/0/35.jpg,img/bm/train/1/120.jpg,0,2.937405
dc0,RIRO,random,img/bm/test/1/191.jpg,img/bm/train/0/52.jpg,img/bm/train/1/153.jpg,1,2.507265
dc0,RIRO,random,img/bm/test/1/144.jpg,img/bm/train/0/66.jpg,img/bm/train/1/150.jpg,0,3.335296
dc0,RIRO,random,img/bm/test/0/46.jpg,img/bm/train/0/61.jpg,img/bm/train/1/130.jpg,1,2.794824
dc0,RIRO,random,img/bm/test/1/143.jpg,img/bm/train/0/28.jpg,img/bm/train/1/115.jpg,1,3.018206
dc0,RIRO,random,img/bm/test/1/141.jpg,img/bm/train/0/78.jpg,img/bm/train/1/178.jpg,1,4.008952
dc0,RIRO,random,img/bm/test/0/99.jpg,img/bm/train/0/0.jpg,img/bm/train/1/121.jpg,0,2.95415
dc0,RIRO,random,img/bm/test/0/49.jpg,img/bm/train/0/88.jpg,img/bm/train/1/101.jpg,0,4.650089
dc0,RIRO,random,img/bm/test/1/198.jpg,img/bm/train/0/70.jpg,img/bm/train/1/188.jpg,1,2.314396
dc0,RIRO,random,img/bm/test/0/43.jpg,img/bm/train/0/5.jpg,img/bm/train/1/163.jpg,0,2.459934
dc0,RIRO,random,img/bm/test/0/40.jpg,img/bm/train/0/72.jpg,img/bm/train/1/173.jpg,0,2.702751
dc4,NIFO,mtl1_d512,img/bm/test/0/94.jpg,img/bm/train/0/54.jpg,img/bm/train/1/173.jpg,0,-1.0
dc4,NIFO,mtl1_d512,img/bm/test/1/146.jpg,img/bm/train/1/152.jpg,img/bm/train/0/51.jpg,0,12.627827
dc4,NIFO,mtl1_d512,img/bm/test/0/42.jpg,img/bm/train/0/83.jpg,img/bm/train/1/173.jpg,1,4.53845
dc4,NIFO,mtl1_d512,img/bm/test/0/44.jpg,img/bm/train/0/71.jpg,img/bm/train/1/173.jpg,0,4.069532
dc4,NIFO,mtl1_d512,img/bm/test/1/148.jpg,img/bm/train/1/139.jpg,img/bm/train/0/51.jpg,1,4.244474
dc4,NIFO,mtl1_d512,img/bm/test/0/47.jpg,img/bm/train/0/83.jpg,img/bm/train/1/161.jpg,0,5.304491
dc4,NIFO,mtl1_d512,img/bm/test/1/196.jpg,img/bm/train/1/127.jpg,img/bm/train/0/51.jpg,1,3.880707
dc4,NIFO,mtl1_d512,img/bm/test/1/195.jpg,img/bm/train/1/139.jpg,img/bm/train/0/51.jpg,1,5.047284
dc4,NIFO,mtl1_d512,img/bm/test/1/147.jpg,img/bm/train/1/153.jpg,img/bm/train/0/51.jpg,0,6.650723
dc4,NIFO,mtl1_d512,img/bm/test/0/91.jpg,img/bm/train/0/18.jpg,img/bm/train/1/173.jpg,1,3.161916
dc4,NIFO,mtl1_d512,img/bm/test/1/197.jpg,img/bm/train/1/127.jpg,img/bm/train/0/51.jpg,1,2.478566
dc4,NIFO,mtl1_d512,img/bm/test/0/97.jpg,img/bm/train/0/83.jpg,img/bm/train/1/166.jpg,1,4.441267
dc4,NIFO,mtl1_d512,img/bm/test/1/199.jpg,img/bm/train/1/139.jpg,img/bm/train/0/51.jpg,1,5.933445
dc4,NIFO,mtl1_d512,img/bm/test/0/48.jpg,img/bm/train/0/54.jpg,img/bm/train/1/173.jpg,1,9.213766
dc4,NIFO,mtl1_d512,img/bm/test/0/95.jpg,img/bm/train/0/18.jpg,img/bm/train/1/173.jpg,0,3.590772
dc4,NIFO,mtl1_d512,img/bm/test/1/190.jpg,img/bm/train/1/137.jpg,img/bm/train/0/7.jpg,0,24.226202
dc4,NIFO,mtl1_d512,img/bm/test/1/140.jpg,img/bm/train/1/172.jpg,img/bm/train/0/51.jpg,0,6.192913
dc4,NIFO,mtl1_d512,img/bm/test/0/98.jpg,img/bm/train/0/71.jpg,img/bm/train/1/173.jpg,0,3.043717
dc4,NIFO,mtl1_d512,img/bm/test/0/41.jpg,img/bm/train/0/71.jpg,img/bm/train/1/173.jpg,1,2.986962
dc4,NIFO,mtl1_d512,img/bm/test/0/92.jpg,img/bm/train/0/71.jpg,img/bm/train/1/173.jpg,0,3.715653
dc4,NIFO,mtl1_d512,img/bm/test/0/49.jpg,img/bm/train/0/83.jpg,img/bm/train/1/173.jpg,0,5.267214
dc4,NIFO,mtl1_d512,img/bm/test/0/90.jpg,img/bm/train/0/71.jpg,img/bm/train/1/173.jpg,1,18.95707
dc4,NIFO,mtl1_d512,img/bm/test/1/144.jpg,img/bm/train/1/139.jpg,img/bm/train/0/7.jpg,1,2.269782
dc4,NIFO,mtl1_d512,img/bm/test/0/99.jpg,img/bm/train/0/71.jpg,img/bm/train/1/173.jpg,0,3.775911
dc4,NIFO,mtl1_d512,img/bm/test/1/191.jpg,img/bm/train/1/120.jpg,img/bm/train/0/51.jpg,1,2.91588
dc4,NIFO,mtl1_d512,img/bm/test/1/198.jpg,img/bm/train/1/139.jpg,img/bm/train/0/51.jpg,1,2.082378
dc4,NIFO,mtl1_d512,img/bm/test/1/145.jpg,img/bm/train/1/107.jpg,img/bm/train/0/51.jpg,1,8.729149
dc4,NIFO,mtl1_d512,img/bm/test/0/40.jpg,img/bm/train/0/12.jpg,img/bm/train/1/173.jpg,0,2.183542
dc4,NIFO,mtl1_d512,img/bm/test/0/93.jpg,img/bm/train/0/71.jpg,img/bm/train/1/173.jpg,0,2.183522
dc4,NIFO,mtl1_d512,img/bm/test/0/46.jpg,img/bm/train/0/83.jpg,img/bm/train/1/173.jpg,1,2.838188
dc4,NIFO,mtl1_d512,img/bm/test/1/142.jpg,img/bm/train/1/128.jpg,img/bm/train/0/51.jpg,1,2.132263
dc4,NIFO,mtl1_d512,img/bm/test/1/192.jpg,img/bm/train/1/137.jpg,img/bm/train/0/51.jpg,1,2.398066
dc4,NIFO,mtl1_d512,img/bm/test/1/141.jpg,img/bm/train/1/137.jpg,img/bm/train/0/51.jpg,1,2.192349
dc4,NIFO,mtl1_d512,img/bm/test/0/96.jpg,img/bm/train/0/18.jpg,img/bm/train/1/173.jpg,1,3.21052
dc4,NIFO,mtl1_d512,img/bm/test/0/43.jpg,img/bm/train/0/83.jpg,img/bm/train/1/173.jpg,1,3.89111
dc4,NIFO,mtl1_d512,img/bm/test/1/194.jpg,img/bm/train/1/139.jpg,img/bm/train/0/51.jpg,1,4.877341
dc4,NIFO,mtl1_d512,img/bm/test/1/149.jpg,img/bm/train/1/127.jpg,img/bm/train/0/51.jpg,1,7.367649
dc4,NIFO,mtl1_d512,img/bm/test/1/193.jpg,img/bm/train/1/127.jpg,img/bm/train/0/51.jpg,0,3.404324
dc4,NIFO,mtl1_d512,img/bm/test/0/45.jpg,img/bm/train/0/71.jpg,img/bm/train/1/166.jpg,1,5.232853
dc4,NIFO,mtl1_d512,img/bm/test/1/143.jpg,img/bm/train/1/139.jpg,img/bm/train/0/51.jpg,0,9.167317
dc3,NINO,mtl1_d512,img/bm/test/0/48.jpg,img/bm/train/0/54.jpg,img/bm/train/1/139.jpg,0,-1.0
dc3,NINO,mtl1_d512,img/bm/test/0/40.jpg,img/bm/train/0/12.jpg,img/bm/train/1/137.jpg,0,3.949067
dc3,NINO,mtl1_d512,img/bm/test/0/99.jpg,img/bm/train/0/71.jpg,img/bm/train/1/137.jpg,0,3.583916
dc3,NINO,mtl1_d512,img/bm/test/1/194.jpg,img/bm/train/1/139.jpg,img/bm/train/0/83.jpg,1,8.135662
dc3,NINO,mtl1_d512,img/bm/test/1/148.jpg,img/bm/train/1/139.jpg,img/bm/train/0/79.jpg,1,40.887287
dc3,NINO,mtl1_d512,img/bm/test/0/49.jpg,img/bm/train/0/83.jpg,img/bm/train/1/137.jpg,0,2.661282
dc3,NINO,mtl1_d512,img/bm/test/0/93.jpg,img/bm/train/0/71.jpg,img/bm/train/1/137.jpg,0,11.070913
dc3,NINO,mtl1_d512,img/bm/test/1/199.jpg,img/bm/train/1/139.jpg,img/bm/train/0/83.jpg,1,10.923604
dc3,NINO,mtl1_d512,img/bm/test/0/44.jpg,img/bm/train/0/71.jpg,img/bm/train/1/137.jpg,0,5.187861
dc3,NINO,mtl1_d512,img/bm/test/0/97.jpg,img/bm/train/0/83.jpg,img/bm/train/1/137.jpg,0,3.262599
dc3,NINO,mtl1_d512,img/bm/test/0/47.jpg,img/bm/train/0/83.jpg,img/bm/train/1/139.jpg,0,14.938192
dc3,NINO,mtl1_d512,img/bm/test/0/90.jpg,img/bm/train/0/71.jpg,img/bm/train/1/137.jpg,0,9.658182
dc3,NINO,mtl1_d512,img/bm/test/1/149.jpg,img/bm/train/1/127.jpg,img/bm/train/0/79.jpg,1,6.616846
dc3,NINO,mtl1_d512,img/bm/test/1/140.jpg,img/bm/train/1/172.jpg,img/bm/train/0/79.jpg,1,21.179506
dc3,NINO,mtl1_d512,img/bm/test/1/195.jpg,img/bm/train/1/139.jpg,img/bm/train/0/83.jpg,1,5.319542
dc3,NINO,mtl1_d512,img/bm/test/0/98.jpg,img/bm/train/0/71.jpg,img/bm/train/1/137.jpg,0,7.631518
dc3,NINO,mtl1_d512,img/bm/test/1/147.jpg,img/bm/train/1/153.jpg,img/bm/train/0/80.jpg,0,6.124755
dc3,NINO,mtl1_d512,img/bm/test/1/191.jpg,img/bm/train/1/120.jpg,img/bm/train/0/79.jpg,1,7.289807
dc3,NINO,mtl1_d512,img/bm/test/0/42.jpg,img/bm/train/0/83.jpg,img/bm/train/1/137.jpg,0,14.952322
dc3,NINO,mtl1_d512,img/bm/test/0/96.jpg,img/bm/train/0/18.jpg,img/bm/train/1/137.jpg,0,3.027828
dc3,NINO,mtl1_d512,img/bm/test/1/198.jpg,img/bm/train/1/139.jpg,img/bm/train/0/83.jpg,1,6.138622
dc3,NINO,mtl1_d512,img/bm/test/0/45.jpg,img/bm/train/0/71.jpg,img/bm/train/1/139.jpg,1,7.100988
dc3,NINO,mtl1_d512,img/bm/test/1/193.jpg,img/bm/train/1/127.jpg,img/bm/train/0/79.jpg,0,10.806376
dc3,NINO,mtl1_d512,img/bm/test/1/197.jpg,img/bm/train/1/127.jpg,img/bm/train/0/79.jpg,1,36.547846
dc3,NINO,mtl1_d512,img/bm/test/1/144.jpg,img/bm/train/1/139.jpg,img/bm/train/0/83.jpg,1,12.314791
dc3,NINO,mtl1_d512,img/bm/test/1/192.jpg,img/bm/train/1/137.jpg,img/bm/train/0/83.jpg,1,8.903751
dc3,NINO,mtl1_d512,img/bm/test/1/196.jpg,img/bm/train/1/127.jpg,img/bm/train/0/79.jpg,0,10.647236
dc3,NINO,mtl1_d512,img/bm/test/0/46.jpg,img/bm/train/0/83.jpg,img/bm/train/1/100.jpg,0,5.21474
dc3,NINO,mtl1_d512,img/bm/test/0/43.jpg,img/bm/train/0/83.jpg,img/bm/train/1/100.jpg,1,12.824553
dc3,NINO,mtl1_d512,img/bm/test/1/141.jpg,img/bm/train/1/137.jpg,img/bm/train/0/83.jpg,1,3.745617
dc3,NINO,mtl1_d512,img/bm/test/0/95.jpg,img/bm/train/0/18.jpg,img/bm/train/1/137.jpg,1,6.97968
dc3,NINO,mtl1_d512,img/bm/test/0/41.jpg,img/bm/train/0/71.jpg,img/bm/train/1/137.jpg,1,6.313689
dc3,NINO,mtl1_d512,img/bm/test/1/190.jpg,img/bm/train/1/137.jpg,img/bm/train/0/83.jpg,0,7.031615
dc3,NINO,mtl1_d512,img/bm/test/0/91.jpg,img/bm/train/0/18.jpg,img/bm/train/1/137.jpg,0,4.149677
dc3,NINO,mtl1_d512,img/bm/test/0/92.jpg,img/bm/train/0/71.jpg,img/bm/train/1/137.jpg,0,6.404774
dc3,NINO,mtl1_d512,img/bm/test/1/142.jpg,img/bm/train/1/128.jpg,img/bm/train/0/79.jpg,1,4.336103
dc3,NINO,mtl1_d512,img/bm/test/0/94.jpg,img/bm/train/0/54.jpg,img/bm/train/1/137.jpg,0,3.521505
dc3,NINO,mtl1_d512,img/bm/test/1/146.jpg,img/bm/train/1/152.jpg,img/bm/train/0/79.jpg,1,5.610302
dc3,NINO,mtl1_d512,img/bm/test/1/145.jpg,img/bm/train/1/107.jpg,img/bm/train/0/80.jpg,1,5.567803
dc3,NINO,mtl1_d512,img/bm/test/1/143.jpg,img/bm/train/1/139.jpg,img/bm/train/0/83.jpg,1,5.966008
dc1,NINO,mtlx_f_d50,img/bm/test/0/42.jpg,img/bm/train/0/18.jpg,img/bm/train/1/131.jpg,0,-1.0
dc1,NINO,mtlx_f_d50,img/bm/test/1/191.jpg,img/bm/train/1/175.jpg,img/bm/train/0/83.jpg,1,6.708263
dc1,NINO,mtlx_f_d50,img/bm/test/0/43.jpg,img/bm/train/0/36.jpg,img/bm/train/1/110.jpg,0,8.863072
dc1,NINO,mtlx_f_d50,img/bm/test/1/141.jpg,img/bm/train/1/107.jpg,img/bm/train/0/36.jpg,1,6.681979
dc1,NINO,mtlx_f_d50,img/bm/test/1/147.jpg,img/bm/train/1/102.jpg,img/bm/train/0/11.jpg,1,5.732842
dc1,NINO,mtlx_f_d50,img/bm/test/1/149.jpg,img/bm/train/1/114.jpg,img/bm/train/0/36.jpg,1,5.447267
