split_pool,fold,condition,q_a,q_p,q_n,pred,pred_time
dc0,RIRO,random,img/bm/test/1/141.jpg,img/bm/train/0/5.jpg,img/bm/train/1/139.jpg,1,2.624535
dc0,RIRO,random,img/bm/test/1/193.jpg,img/bm/train/0/71.jpg,img/bm/train/1/135.jpg,0,2.623584
dc0,RIRO,random,img/bm/test/0/99.jpg,img/bm/train/0/0.jpg,img/bm/train/1/122.jpg,0,3.280904
dc0,RIRO,random,img/bm/test/0/49.jpg,img/bm/train/0/80.jpg,img/bm/train/1/169.jpg,0,4.182744
dc0,RIRO,random,img/bm/test/1/190.jpg,img/bm/train/0/21.jpg,img/bm/train/1/115.jpg,1,2.875683
dc0,RIRO,random,img/bm/test/0/45.jpg,img/bm/train/0/80.jpg,img/bm/train/1/128.jpg,1,2.230244
dc0,RIRO,random,img/bm/test/0/95.jpg,img/bm/train/0/74.jpg,img/bm/train/1/173.jpg,1,12.498286
dc0,RIRO,random,img/bm/test/1/147.jpg,img/bm/train/0/71.jpg,img/bm/train/1/103.jpg,1,1.861327
dc0,RIRO,random,img/bm/test/1/145.jpg,img/bm/train/0/63.jpg,img/bm/train/1/111.jpg,1,2.103794
dc0,RIRO,random,img/bm/test/1/191.jpg,img/bm/train/0/24.jpg,img/bm/train/1/154.jpg,1,2.353829
dc0,RIRO,random,img/bm/test/0/93.jpg,img/bm/train/0/34.jpg,img/bm/train/1/188.jpg,1,2.079483
dc0,RIRO,random,img/bm/test/0/46.jpg,img/bm/train/0/51.jpg,img/bm/train/1/187.jpg,1,2.359392
dc0,RIRO,random,img/bm/test/0/40.jpg,img/bm/train/0/28.jpg,img/bm/train/1/110.jpg,0,2.265077
dc0,RIRO,random,img/bm/test/1/197.jpg,img/bm/train/0/56.jpg,img/bm/train/1/101.jpg,0,2.259296
dc0,RIRO,random,img/bm/test/1/194.jpg,img/bm/train/0/65.jpg,img/bm/train/1/130.jpg,1,3.06601
dc0,RIRO,random,img/bm/test/0/90.jpg,img/bm/train/0/60.jpg,img/bm/train/1/167.jpg,1,5.651767
dc0,RIRO,random,img/bm/test/0/42.jpg,img/bm/train/0/51.jpg,img/bm/train/1/154.jpg,0,2.962735
dc0,RIRO,random,img/bm/test/1/144.jpg,img/bm/train/0/9.jpg,img/bm/train/1/167.jpg,0,2.428056
dc0,RIRO,random,img/bm/test/1/140.jpg,img/bm/train/0/9.jpg,img/bm/train/1/137.jpg,1,2.16375
dc0,RIRO,random,img/bm/test/0/47.jpg,img/bm/train/0/31.jpg,img/bm/train/1/152.jpg,0,1.958591
dc3,NINO,mtl1_d512,img/bm/test/1/146.jpg,img/bm/train/1/152.jpg,img/bm/train/0/79.jpg,0,-1.0
dc3,NINO,mtl1_d512,img/bm/test/1/195.jpg,img/bm/train/1/139.jpg,img/bm/train/0/83.jpg,0,2.160395
dc3,NINO,mtl1_d512,img/bm/test/1/143.jpg,img/bm/train/1/139.jpg,img/bm/train/0/83.jpg,1,2.550417
dc3,NINO,mtl1_d512,img/bm/test/0/96.jpg,img/bm/train/0/18.jpg,img/bm/train/1/137.jpg,0,5.369748
dc3,NINO,mtl1_d512,img/bm/test/0/42.jpg,img/bm/train/0/83.jpg,img/bm/train/1/137.jpg,1,2.658741
dc3,NINO,mtl1_d512,img/bm/test/1/148.jpg,img/bm/train/1/139.jpg,img/bm/train/0/79.jpg,1,1.866321
dc3,NINO,mtl1_d512,img/bm/test/0/47.jpg,img/bm/train/0/83.jpg,img/bm/train/1/139.jpg,1,2.208962
dc3,NINO,mtl1_d512,img/bm/test/1/145.jpg,img/bm/train/1/107.jpg,img/bm/train/0/80.jpg,1,1.714242
